date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,3.79,3.81,3.65,3.81,3.81,250600,335,USD,0.07,0.07,0,0,
2023-07-28,3.73,3.84,3.73,3.79,3.79,43500,338,USD,0.07,0.07,0,0,
2023-07-27,3.88,3.89,3.62,3.76,3.76,159100,339,USD,0.07,0.07,0,0,
2023-07-26,3.84,3.89,3.75,3.85,3.85,113400,340,USD,0.07,0.07,0,0,
2023-07-25,3.77,3.91,3.73,3.83,3.83,76700,341,USD,0.07,0.07,0,0,
2023-07-24,3.78,3.84,3.62,3.82,3.82,130200,342,USD,0.07,0.07,0,0,
2023-07-21,3.88,3.94,3.78,3.78,3.78,153100,345,USD,0.07,0.07,0,0,
2023-07-20,3.91,4.0,3.82,3.89,3.89,64700,346,USD,0.07,0.07,0,0,
2023-07-19,4.0,4.0,3.89,3.91,3.91,129400,347,USD,0.07,0.07,0,0,
2023-07-18,4.0,4.01,3.87,3.98,3.98,131400,348,USD,0.07,0.07,0,0,
2023-07-17,3.8,4.08,3.75,4.03,4.03,561600,349,USD,0.07,0.07,0,0,
2023-07-14,3.83,3.86,3.75,3.77,3.77,57900,352,USD,0.07,0.07,0,0,
2023-07-13,3.71,3.86,3.71,3.78,3.78,51100,353,USD,0.07,0.07,0,0,
2023-07-12,3.67,3.76,3.65,3.73,3.73,67000,354,USD,0.07,0.07,0,0,
2023-07-11,3.72,3.74,3.61,3.67,3.67,76400,355,USD,0.07,0.07,0,0,
2023-07-10,3.51,3.78,3.51,3.7,3.7,96200,356,USD,0.07,0.07,0,0,
2023-07-07,3.46,3.62,3.42,3.55,3.55,100500,359,USD,0.07,0.07,0,0,
2023-07-06,3.54,3.6,3.5,3.5,3.5,80700,360,USD,0.07,0.07,0,0,
2023-07-05,3.74,3.74,3.53,3.57,3.57,194400,361,USD,0.07,0.07,0,0,
2023-07-03,3.66,3.75,3.6,3.75,3.75,88800,363,USD,0.07,0.07,0,0,
2023-06-30,3.69,3.73,3.6,3.62,3.62,76500,366,USD,0.07,0.07,0,0,37651700
2023-06-29,3.61,3.76,3.56,3.69,3.69,123900,367,USD,0.08,0.05,0.03,60,37334500
2023-06-28,3.85,3.85,3.55,3.55,3.55,283100,368,USD,0.08,0.05,0.03,60,37334500
2023-06-27,3.75,3.86,3.71,3.8,3.8,92300,369,USD,0.08,0.05,0.03,60,37334500
2023-06-26,3.98,3.98,3.75,3.76,3.76,104100,370,USD,0.08,0.05,0.03,60,37334500
2023-06-23,3.76,4.0,3.76,3.96,3.96,390800,373,USD,0.08,0.05,0.03,60,37334500
2023-06-22,3.84,3.91,3.8,3.8,3.8,75600,374,USD,0.08,0.05,0.03,60,37334500
2023-06-21,3.82,3.93,3.76,3.84,3.84,123100,375,USD,0.08,0.05,0.03,60,37334500
2023-06-20,3.85,3.92,3.72,3.83,3.83,525700,376,USD,0.08,0.05,0.03,60,37334500
2023-06-16,3.82,3.86,3.4,3.81,3.81,762700,380,USD,0.08,0.05,0.03,60,37334500
2023-06-15,3.79,3.92,3.77,3.85,3.85,96300,381,USD,0.08,0.05,0.03,60,37334500
2023-06-14,3.99,4.0,3.83,3.83,3.83,116100,382,USD,0.08,0.05,0.03,60,37334500
2023-06-13,3.8,3.95,3.79,3.92,3.92,303400,383,USD,0.08,0.05,0.03,60,37334500
2023-06-12,3.85,3.85,3.6,3.77,3.77,183900,384,USD,0.08,0.05,0.03,60,37334500
2023-06-09,3.9,3.97,3.85,3.89,3.89,97100,387,USD,0.08,0.05,0.03,60,37334500
2023-06-08,3.94,4.0,3.82,3.9,3.9,230200,388,USD,0.08,0.05,0.03,60,37334500
2023-06-07,4.01,4.04,3.9,3.93,3.93,294900,389,USD,0.08,0.05,0.03,60,37334500
2023-06-06,4.01,4.01,3.92,4.0,4.0,292600,390,USD,0.08,0.05,0.03,60,37334500
2023-06-05,3.67,4.0,3.66,3.99,3.99,465800,391,USD,0.08,0.05,0.03,60,37334500
2023-06-02,3.62,3.67,3.53,3.63,3.63,209400,394,USD,0.08,0.05,0.03,60,37334500
2023-06-01,3.47,3.65,3.35,3.55,3.55,339000,395,USD,0.08,0.05,0.03,60,37334500
2023-05-31,3.78,3.78,3.44,3.49,3.49,279200,396,USD,0.08,0.05,0.03,60,37334500
2023-05-30,3.96,3.96,3.73,3.75,3.75,425400,397,USD,0.08,0.05,0.03,60,37334500
2023-05-26,3.61,3.81,3.57,3.81,3.81,319300,401,USD,0.08,0.05,0.03,60,37334500
2023-05-25,3.6,3.61,3.55,3.61,3.61,223300,402,USD,0.08,0.05,0.03,60,37334500
2023-05-24,3.55,3.6,3.5,3.6,3.6,246344,403,USD,0.08,0.05,0.03,60,37334500
2023-05-23,3.55,3.6,3.38,3.58,3.58,556055,404,USD,0.08,0.05,0.03,60,37334500
2023-05-22,3.31,3.55,3.3,3.55,3.55,715499,405,USD,0.08,0.05,0.03,60,37334500
2023-05-19,3.21,3.3,3.17,3.3,3.3,392100,408,USD,0.08,0.05,0.03,60,37334500
2023-05-18,3.07,3.21,3.0,3.2,3.2,381800,409,USD,0.08,0.05,0.03,60,37334500
2023-05-17,2.99,3.01,2.96,3.0,3.0,204500,410,USD,0.08,0.05,0.03,60,37334500
2023-05-16,3.0,3.0,2.93,2.96,2.96,43600,411,USD,0.08,0.05,0.03,60,37334500
2023-05-15,3.0,3.08,2.9,2.99,2.99,179500,412,USD,0.08,0.05,0.03,60,37334500
2023-05-12,3.08,3.12,2.81,2.99,2.99,512600,415,USD,0.08,0.05,0.03,60,37334500
2023-05-11,2.92,3.0,2.9,2.97,2.97,118000,416,USD,0.08,0.05,0.03,60,37334500
2023-05-10,2.81,2.93,2.81,2.92,2.92,53600,417,USD,0.08,0.05,0.03,60,37334500
2023-05-09,2.85,2.86,2.81,2.83,2.83,90700,418,USD,0.08,0.05,0.03,60,37334500
2023-05-08,2.8,2.88,2.8,2.86,2.86,45500,419,USD,0.08,0.05,0.03,60,37334500
2023-05-05,2.8,2.84,2.77,2.82,2.82,23900,422,USD,0.08,0.05,0.03,60,37334500
2023-05-04,2.8,2.81,2.75,2.8,2.8,61300,423,USD,0.08,0.05,0.03,60,37334500
2023-05-03,2.81,2.87,2.8,2.8,2.8,101000,424,USD,0.08,0.05,0.03,60,37334500
2023-05-02,2.89,2.94,2.8,2.85,2.85,81300,425,USD,0.08,0.05,0.03,60,37334500
2023-05-01,2.94,2.95,2.86,2.86,2.86,60000,426,USD,0.08,0.05,0.03,60,37334500
2023-04-28,2.84,2.93,2.82,2.89,2.89,32500,429,USD,0.08,0.05,0.03,60,37334500
2023-04-27,2.84,2.92,2.84,2.86,2.86,43200,430,USD,0.08,0.05,0.03,60,37334500
2023-04-26,2.86,2.97,2.74,2.87,2.87,323000,431,USD,0.08,0.05,0.03,60,37334500
2023-04-25,2.88,2.89,2.81,2.83,2.83,140700,432,USD,0.08,0.05,0.03,60,37334500
2023-04-24,2.95,3.06,2.89,2.89,2.89,533900,433,USD,0.08,0.05,0.03,60,37334500
2023-04-21,2.96,2.96,2.85,2.95,2.95,53500,436,USD,0.08,0.05,0.03,60,37334500
2023-04-20,2.95,2.99,2.86,2.87,2.87,67900,437,USD,0.08,0.05,0.03,60,37334500
2023-04-19,3.0,3.01,2.91,2.99,2.99,53500,438,USD,0.08,0.05,0.03,60,37334500
2023-04-18,3.05,3.05,2.97,3.0,3.0,103200,439,USD,0.08,0.05,0.03,60,37334500
2023-04-17,3.04,3.05,3.0,3.02,3.02,176500,440,USD,0.08,0.05,0.03,60,37334500
2023-04-14,2.94,3.04,2.94,2.97,2.97,324700,443,USD,0.08,0.05,0.03,60,37334500
2023-04-13,2.93,2.96,2.84,2.88,2.88,101700,444,USD,0.08,0.05,0.03,60,37334500
2023-04-12,2.85,2.95,2.85,2.87,2.87,95500,445,USD,0.08,0.05,0.03,60,37334500
2023-04-11,2.82,2.88,2.8,2.88,2.88,132100,446,USD,0.08,0.05,0.03,60,37334500
2023-04-10,2.72,2.85,2.72,2.79,2.79,85800,447,USD,0.08,0.05,0.03,60,37334500
2023-04-06,2.81,2.84,2.77,2.77,2.77,24900,451,USD,0.08,0.05,0.03,60,37334500
2023-04-05,2.8,2.85,2.76,2.84,2.84,53900,452,USD,0.08,0.05,0.03,60,37334500
2023-04-04,2.89,2.89,2.79,2.82,2.82,60300,453,USD,0.08,0.05,0.03,60,37334500
2023-04-03,2.82,2.95,2.82,2.9,2.9,174600,454,USD,0.08,0.05,0.03,60,37334500
2023-03-31,2.87,2.9,2.81,2.87,2.87,67000,457,USD,0.08,0.05,0.03,60,37334500
2023-03-30,2.92,2.94,2.84,2.87,2.87,80800,458,USD,0.08,0.04,0.04,100,37083400
2023-03-29,2.87,2.89,2.84,2.84,2.84,58300,459,USD,0.08,0.04,0.04,100,37083400
2023-03-28,2.92,2.93,2.85,2.86,2.86,102500,460,USD,0.08,0.04,0.04,100,37083400
2023-03-27,2.94,2.94,2.81,2.92,2.92,179400,461,USD,0.08,0.04,0.04,100,37083400
2023-03-24,2.7,2.85,2.63,2.85,2.85,54000,464,USD,0.08,0.04,0.04,100,37083400
2023-03-23,2.74,2.76,2.66,2.66,2.66,112500,465,USD,0.08,0.04,0.04,100,37083400
2023-03-22,2.85,2.86,2.71,2.78,2.78,66500,466,USD,0.08,0.04,0.04,100,37083400
2023-03-21,2.88,2.88,2.72,2.86,2.86,64600,467,USD,0.08,0.04,0.04,100,37083400
2023-03-20,2.75,2.89,2.73,2.78,2.78,233900,468,USD,0.08,0.04,0.04,100,37083400
2023-03-17,2.81,2.82,2.61,2.71,2.71,186800,471,USD,0.08,0.04,0.04,100,37083400
2023-03-16,2.91,2.96,2.72,2.8,2.8,121300,472,USD,0.08,0.04,0.04,100,37083400
2023-03-15,2.75,2.92,2.71,2.85,2.85,387500,473,USD,0.08,0.04,0.04,100,37083400
2023-03-14,2.77,3.04,2.77,2.8,2.8,834300,474,USD,0.08,0.04,0.04,100,37083400
2023-03-13,2.67,2.81,2.67,2.75,2.75,315500,475,USD,0.08,0.04,0.04,100,37083400
2023-03-10,2.78,2.98,2.58,2.82,2.82,1369400,478,USD,0.08,0.04,0.04,100,37083400
2023-03-09,2.5,2.51,2.45,2.47,2.47,232800,479,USD,0.08,0.04,0.04,100,37083400
2023-03-08,2.4,2.52,2.4,2.51,2.51,48100,480,USD,0.08,0.04,0.04,100,37083400
2023-03-07,2.42,2.5,2.25,2.41,2.41,20100,481,USD,0.08,0.04,0.04,100,37083400
2023-03-06,2.52,2.52,2.38,2.45,2.45,28400,482,USD,0.08,0.04,0.04,100,37083400
