date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,3.08,3.44,3.08,3.29,3.29,134200,61,USD,-0.13,-0.15,0.02,13.3333,
2023-07-28,3.06,3.28,3.04,3.07,3.07,108300,64,USD,-0.13,-0.15,0.02,13.3333,
2023-07-27,3.14,3.17,3.0,3.06,3.06,68900,65,USD,-0.13,-0.15,0.02,13.3333,
2023-07-26,3.15,3.31,3.06,3.1,3.1,59000,66,USD,-0.13,-0.15,0.02,13.3333,
2023-07-25,3.16,3.27,3.09,3.15,3.15,54900,67,USD,-0.13,-0.15,0.02,13.3333,
2023-07-24,3.25,3.36,3.11,3.21,3.21,65200,68,USD,-0.13,-0.15,0.02,13.3333,
2023-07-21,3.36,3.395,3.21,3.25,3.25,60700,71,USD,-0.13,-0.15,0.02,13.3333,
2023-07-20,3.42,3.47,3.27,3.33,3.33,45800,72,USD,-0.13,-0.15,0.02,13.3333,
2023-07-19,3.54,3.56,3.34,3.39,3.39,57400,73,USD,-0.13,-0.15,0.02,13.3333,
2023-07-18,3.45,3.59,3.45,3.54,3.54,78800,74,USD,-0.13,-0.15,0.02,13.3333,
2023-07-17,3.41,3.6,3.37,3.45,3.45,70300,75,USD,-0.13,-0.15,0.02,13.3333,
2023-07-14,3.53,3.595,3.35,3.42,3.42,77900,78,USD,-0.13,-0.15,0.02,13.3333,
2023-07-13,3.75,3.94,3.5,3.55,3.55,141700,79,USD,-0.13,-0.15,0.02,13.3333,
2023-07-12,3.63,3.86,3.527,3.65,3.65,199000,80,USD,-0.13,-0.15,0.02,13.3333,
2023-07-11,3.55,3.675,3.49,3.55,3.55,88600,81,USD,-0.13,-0.15,0.02,13.3333,
2023-07-10,3.4,3.655,3.4,3.54,3.54,90700,82,USD,-0.13,-0.15,0.02,13.3333,
2023-07-07,3.47,3.59,3.38,3.46,3.46,86500,85,USD,-0.13,-0.15,0.02,13.3333,
2023-07-06,3.54,3.566,3.13,3.485,3.485,239800,86,USD,-0.13,-0.15,0.02,13.3333,
2023-07-05,3.83,3.833,3.42,3.68,3.68,206300,87,USD,-0.13,-0.15,0.02,13.3333,
2023-07-03,3.95,4.0,3.7,3.77,3.77,146100,89,USD,-0.13,-0.15,0.02,13.3333,
2023-06-30,3.52,3.92,3.45,3.87,3.87,221500,92,USD,-0.13,-0.15,0.02,13.3333,124603200
2023-06-29,3.3,3.55,3.2,3.47,3.47,193200,93,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-06-28,3.2,3.33,3.19,3.29,3.29,59800,94,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-06-27,3.2,3.36,3.05,3.22,3.22,87500,95,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-06-26,3.62,3.62,3.05,3.12,3.12,275400,96,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-06-23,3.8,3.94,3.55,3.67,3.67,880500,99,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-06-22,4.41,4.42,3.81,3.86,3.86,138200,100,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-06-21,4.5,4.65,4.32,4.42,4.42,152000,101,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-06-20,4.02,4.58,3.97,4.52,4.52,294200,102,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-06-16,4.0,4.0,3.81,3.98,3.98,222900,106,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-06-15,3.6,3.98,3.6,3.97,3.97,119800,107,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-06-14,3.73,3.789,3.51,3.59,3.59,100100,108,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-06-13,3.54,3.82,3.51,3.72,3.72,144800,109,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-06-12,3.31,3.68,3.31,3.58,3.58,162200,110,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-06-09,3.17,3.36,3.04,3.31,3.31,75500,113,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-06-08,3.15,3.2,2.99,3.15,3.15,109300,114,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-06-07,3.0,3.21,2.91,3.15,3.15,242000,115,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-06-06,2.71,2.99,2.669,2.98,2.98,162700,116,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-06-05,2.75,2.86,2.67,2.73,2.73,86100,117,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-06-02,2.78,2.8,2.67,2.78,2.78,69600,120,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-06-01,2.85,2.85,2.68,2.76,2.76,70200,121,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-05-31,2.99,3.0,2.84,2.86,2.86,63600,122,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-05-30,2.89,3.0,2.83,2.99,2.99,88700,123,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-05-26,2.61,2.87,2.6,2.84,2.84,75100,127,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-05-25,2.69,2.7,2.55,2.63,2.63,44600,128,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-05-24,2.57,2.7,2.525,2.69,2.69,69000,129,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-05-23,2.43,2.59,2.41,2.58,2.58,38700,130,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-05-22,2.32,2.445,2.32,2.44,2.44,62700,131,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-05-19,2.42,2.42,2.29,2.31,2.31,140200,134,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-05-18,2.45,2.5,2.274,2.35,2.35,109000,135,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-05-17,2.54,2.54,2.36,2.42,2.42,61900,136,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-05-16,2.55,2.55,2.44,2.505,2.505,61500,137,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-05-15,2.48,2.55,2.42,2.55,2.55,30400,138,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-05-12,2.52,2.53,2.41,2.49,2.49,38500,141,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-05-11,2.47,2.51,2.42,2.43,2.43,32000,142,USD,-0.12,-0.17,0.05,29.4118,124590400
2023-05-10,2.4,2.51,2.326,2.49,2.49,46900,143,USD,-0.12,-0.17,0.05,29.4118,124590400
