index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,-0.36,-0.4,0.04,10,
336,2023-07-30,USD,-0.36,-0.4,0.04,10,
337,2023-07-29,USD,-0.36,-0.4,0.04,10,
338,2023-07-28,USD,-0.36,-0.4,0.04,10,
339,2023-07-27,USD,-0.36,-0.4,0.04,10,
340,2023-07-26,USD,-0.36,-0.4,0.04,10,
341,2023-07-25,USD,-0.36,-0.4,0.04,10,
342,2023-07-24,USD,-0.36,-0.4,0.04,10,
343,2023-07-23,USD,-0.36,-0.4,0.04,10,
344,2023-07-22,USD,-0.36,-0.4,0.04,10,
345,2023-07-21,USD,-0.36,-0.4,0.04,10,
346,2023-07-20,USD,-0.36,-0.4,0.04,10,
347,2023-07-19,USD,-0.36,-0.4,0.04,10,
348,2023-07-18,USD,-0.36,-0.4,0.04,10,
349,2023-07-17,USD,-0.36,-0.4,0.04,10,
350,2023-07-16,USD,-0.36,-0.4,0.04,10,
351,2023-07-15,USD,-0.36,-0.4,0.04,10,
352,2023-07-14,USD,-0.36,-0.4,0.04,10,
353,2023-07-13,USD,-0.36,-0.4,0.04,10,
354,2023-07-12,USD,-0.36,-0.4,0.04,10,
355,2023-07-11,USD,-0.36,-0.4,0.04,10,
356,2023-07-10,USD,-0.36,-0.4,0.04,10,
357,2023-07-09,USD,-0.36,-0.4,0.04,10,
358,2023-07-08,USD,-0.36,-0.4,0.04,10,
359,2023-07-07,USD,-0.36,-0.4,0.04,10,
360,2023-07-06,USD,-0.36,-0.4,0.04,10,
361,2023-07-05,USD,-0.36,-0.4,0.04,10,
362,2023-07-04,USD,-0.36,-0.4,0.04,10,
363,2023-07-03,USD,-0.36,-0.4,0.04,10,
364,2023-07-02,USD,-0.36,-0.4,0.04,10,
365,2023-07-01,USD,-0.36,-0.4,0.04,10,
366,2023-06-30,USD,-0.36,-0.4,0.04,10,55949000
367,2023-06-29,USD,-0.35,-0.36,0.01,2.7778,55908000
368,2023-06-28,USD,-0.35,-0.36,0.01,2.7778,55908000
369,2023-06-27,USD,-0.35,-0.36,0.01,2.7778,55908000
