index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,0.76,0.86,-0.1,-11.6279,
336,2023-07-30,USD,0.76,0.86,-0.1,-11.6279,
337,2023-07-29,USD,0.76,0.86,-0.1,-11.6279,
338,2023-07-28,USD,0.76,0.86,-0.1,-11.6279,
339,2023-07-27,USD,0.76,0.86,-0.1,-11.6279,
340,2023-07-26,USD,0.76,0.86,-0.1,-11.6279,
341,2023-07-25,USD,0.76,0.86,-0.1,-11.6279,
342,2023-07-24,USD,0.76,0.86,-0.1,-11.6279,
343,2023-07-23,USD,0.76,0.86,-0.1,-11.6279,
344,2023-07-22,USD,0.76,0.86,-0.1,-11.6279,
345,2023-07-21,USD,0.76,0.86,-0.1,-11.6279,
346,2023-07-20,USD,0.76,0.86,-0.1,-11.6279,
347,2023-07-19,USD,0.76,0.86,-0.1,-11.6279,
348,2023-07-18,USD,0.76,0.86,-0.1,-11.6279,
349,2023-07-17,USD,0.76,0.86,-0.1,-11.6279,
350,2023-07-16,USD,0.76,0.86,-0.1,-11.6279,
351,2023-07-15,USD,0.76,0.86,-0.1,-11.6279,
352,2023-07-14,USD,0.76,0.86,-0.1,-11.6279,
353,2023-07-13,USD,0.76,0.86,-0.1,-11.6279,
354,2023-07-12,USD,0.76,0.86,-0.1,-11.6279,
355,2023-07-11,USD,0.76,0.86,-0.1,-11.6279,
356,2023-07-10,USD,0.76,0.86,-0.1,-11.6279,
357,2023-07-09,USD,0.76,0.86,-0.1,-11.6279,
358,2023-07-08,USD,0.76,0.86,-0.1,-11.6279,
359,2023-07-07,USD,0.76,0.86,-0.1,-11.6279,
360,2023-07-06,USD,0.76,0.86,-0.1,-11.6279,
361,2023-07-05,USD,0.76,0.86,-0.1,-11.6279,
362,2023-07-04,USD,0.76,0.86,-0.1,-11.6279,
363,2023-07-03,USD,0.76,0.86,-0.1,-11.6279,
364,2023-07-02,USD,0.76,0.86,-0.1,-11.6279,
365,2023-07-01,USD,0.76,0.86,-0.1,-11.6279,
366,2023-06-30,USD,0.76,0.86,-0.1,-11.6279,38226200
367,2023-06-29,USD,1.03,0.81,0.22,27.1605,37979400
368,2023-06-28,USD,1.03,0.81,0.22,27.1605,37979400
369,2023-06-27,USD,1.03,0.81,0.22,27.1605,37979400
370,2023-06-26,USD,1.03,0.81,0.22,27.1605,37979400
371,2023-06-25,USD,1.03,0.81,0.22,27.1605,37979400
372,2023-06-24,USD,1.03,0.81,0.22,27.1605,37979400
373,2023-06-23,USD,1.03,0.81,0.22,27.1605,37979400
374,2023-06-22,USD,1.03,0.81,0.22,27.1605,37979400
375,2023-06-21,USD,1.03,0.81,0.22,27.1605,37979400
376,2023-06-20,USD,1.03,0.81,0.22,27.1605,37979400
377,2023-06-19,USD,1.03,0.81,0.22,27.1605,37979400
378,2023-06-18,USD,1.03,0.81,0.22,27.1605,37979400
379,2023-06-17,USD,1.03,0.81,0.22,27.1605,37979400
380,2023-06-16,USD,1.03,0.81,0.22,27.1605,37979400
381,2023-06-15,USD,1.03,0.81,0.22,27.1605,37979400
382,2023-06-14,USD,1.03,0.81,0.22,27.1605,37979400
383,2023-06-13,USD,1.03,0.81,0.22,27.1605,37979400
384,2023-06-12,USD,1.03,0.81,0.22,27.1605,37979400
385,2023-06-11,USD,1.03,0.81,0.22,27.1605,37979400
386,2023-06-10,USD,1.03,0.81,0.22,27.1605,37979400
387,2023-06-09,USD,1.03,0.81,0.22,27.1605,37979400
388,2023-06-08,USD,1.03,0.81,0.22,27.1605,37979400
389,2023-06-07,USD,1.03,0.81,0.22,27.1605,37979400
390,2023-06-06,USD,1.03,0.81,0.22,27.1605,37979400
391,2023-06-05,USD,1.03,0.81,0.22,27.1605,37979400
392,2023-06-04,USD,1.03,0.81,0.22,27.1605,37979400
393,2023-06-03,USD,1.03,0.81,0.22,27.1605,37979400
394,2023-06-02,USD,1.03,0.81,0.22,27.1605,37979400
395,2023-06-01,USD,1.03,0.81,0.22,27.1605,37979400
396,2023-05-31,USD,1.03,0.81,0.22,27.1605,37979400
397,2023-05-30,USD,1.03,0.81,0.22,27.1605,37979400
398,2023-05-29,USD,1.03,0.81,0.22,27.1605,37979400
399,2023-05-28,USD,1.03,0.81,0.22,27.1605,37979400
400,2023-05-27,USD,1.03,0.81,0.22,27.1605,37979400
401,2023-05-26,USD,1.03,0.81,0.22,27.1605,37979400
402,2023-05-25,USD,1.03,0.81,0.22,27.1605,37979400
403,2023-05-24,USD,1.03,0.81,0.22,27.1605,37979400
404,2023-05-23,USD,1.03,0.81,0.22,27.1605,37979400
405,2023-05-22,USD,1.03,0.81,0.22,27.1605,37979400
406,2023-05-21,USD,1.03,0.81,0.22,27.1605,37979400
407,2023-05-20,USD,1.03,0.81,0.22,27.1605,37979400
408,2023-05-19,USD,1.03,0.81,0.22,27.1605,37979400
409,2023-05-18,USD,1.03,0.81,0.22,27.1605,37979400
410,2023-05-17,USD,1.03,0.81,0.22,27.1605,37979400
411,2023-05-16,USD,1.03,0.81,0.22,27.1605,37979400
412,2023-05-15,USD,1.03,0.81,0.22,27.1605,37979400
413,2023-05-14,USD,1.03,0.81,0.22,27.1605,37979400
414,2023-05-13,USD,1.03,0.81,0.22,27.1605,37979400
415,2023-05-12,USD,1.03,0.81,0.22,27.1605,37979400
416,2023-05-11,USD,1.03,0.81,0.22,27.1605,37979400
417,2023-05-10,USD,1.03,0.81,0.22,27.1605,37979400
418,2023-05-09,USD,1.03,0.81,0.22,27.1605,37979400
419,2023-05-08,USD,1.03,0.81,0.22,27.1605,37979400
420,2023-05-07,USD,1.03,0.81,0.22,27.1605,37979400
421,2023-05-06,USD,1.03,0.81,0.22,27.1605,37979400
422,2023-05-05,USD,1.03,0.81,0.22,27.1605,37979400
423,2023-05-04,USD,1.03,0.81,0.22,27.1605,37979400
424,2023-05-03,USD,1.03,0.81,0.22,27.1605,37979400
425,2023-05-02,USD,1.03,0.81,0.22,27.1605,37979400
426,2023-05-01,USD,1.03,0.81,0.22,27.1605,37979400
427,2023-04-30,USD,1.03,0.81,0.22,27.1605,37979400
428,2023-04-29,USD,1.03,0.81,0.22,27.1605,37979400
429,2023-04-28,USD,1.03,0.81,0.22,27.1605,37979400
430,2023-04-27,USD,1.03,0.81,0.22,27.1605,37979400
431,2023-04-26,USD,1.03,0.81,0.22,27.1605,37979400
432,2023-04-25,USD,1.03,0.81,0.22,27.1605,37979400
433,2023-04-24,USD,1.03,0.81,0.22,27.1605,37979400
434,2023-04-23,USD,1.03,0.81,0.22,27.1605,37979400
435,2023-04-22,USD,1.03,0.81,0.22,27.1605,37979400
436,2023-04-21,USD,1.03,0.81,0.22,27.1605,37979400
437,2023-04-20,USD,1.03,0.81,0.22,27.1605,37979400
438,2023-04-19,USD,1.03,0.81,0.22,27.1605,37979400
439,2023-04-18,USD,1.03,0.81,0.22,27.1605,37979400
440,2023-04-17,USD,1.03,0.81,0.22,27.1605,37979400
441,2023-04-16,USD,1.03,0.81,0.22,27.1605,37979400
442,2023-04-15,USD,1.03,0.81,0.22,27.1605,37979400
443,2023-04-14,USD,1.03,0.81,0.22,27.1605,37979400
444,2023-04-13,USD,1.03,0.81,0.22,27.1605,37979400
445,2023-04-12,USD,1.03,0.81,0.22,27.1605,37979400
446,2023-04-11,USD,1.03,0.81,0.22,27.1605,37979400
447,2023-04-10,USD,1.03,0.81,0.22,27.1605,37979400
448,2023-04-09,USD,1.03,0.81,0.22,27.1605,37979400
449,2023-04-08,USD,1.03,0.81,0.22,27.1605,37979400
450,2023-04-07,USD,1.03,0.81,0.22,27.1605,37979400
451,2023-04-06,USD,1.03,0.81,0.22,27.1605,37979400
452,2023-04-05,USD,1.03,0.81,0.22,27.1605,37979400
453,2023-04-04,USD,1.03,0.81,0.22,27.1605,37979400
454,2023-04-03,USD,1.03,0.81,0.22,27.1605,37979400
455,2023-04-02,USD,1.03,0.81,0.22,27.1605,37979400
456,2023-04-01,USD,1.03,0.81,0.22,27.1605,37979400
457,2023-03-31,USD,1.03,0.81,0.22,27.1605,37979400
458,2023-03-30,USD,1.18,1.01,0.17,16.8317,37994700
459,2023-03-29,USD,1.18,1.01,0.17,16.8317,37994700
460,2023-03-28,USD,1.18,1.01,0.17,16.8317,37994700
461,2023-03-27,USD,1.18,1.01,0.17,16.8317,37994700
462,2023-03-26,USD,1.18,1.01,0.17,16.8317,37994700
463,2023-03-25,USD,1.18,1.01,0.17,16.8317,37994700
464,2023-03-24,USD,1.18,1.01,0.17,16.8317,37994700
465,2023-03-23,USD,1.18,1.01,0.17,16.8317,37994700
466,2023-03-22,USD,1.18,1.01,0.17,16.8317,37994700
467,2023-03-21,USD,1.18,1.01,0.17,16.8317,37994700
468,2023-03-20,USD,1.18,1.01,0.17,16.8317,37994700
469,2023-03-19,USD,1.18,1.01,0.17,16.8317,37994700
470,2023-03-18,USD,1.18,1.01,0.17,16.8317,37994700
471,2023-03-17,USD,1.18,1.01,0.17,16.8317,37994700
472,2023-03-16,USD,1.18,1.01,0.17,16.8317,37994700
473,2023-03-15,USD,1.18,1.01,0.17,16.8317,37994700
474,2023-03-14,USD,1.18,1.01,0.17,16.8317,37994700
475,2023-03-13,USD,1.18,1.01,0.17,16.8317,37994700
476,2023-03-12,USD,1.18,1.01,0.17,16.8317,37994700
477,2023-03-11,USD,1.18,1.01,0.17,16.8317,37994700
478,2023-03-10,USD,1.18,1.01,0.17,16.8317,37994700
479,2023-03-09,USD,1.18,1.01,0.17,16.8317,37994700
480,2023-03-08,USD,1.18,1.01,0.17,16.8317,37994700
481,2023-03-07,USD,1.18,1.01,0.17,16.8317,37994700
482,2023-03-06,USD,1.18,1.01,0.17,16.8317,37994700
483,2023-03-05,USD,1.18,1.01,0.17,16.8317,37994700
484,2023-03-04,USD,1.18,1.01,0.17,16.8317,37994700
485,2023-03-03,USD,1.18,1.01,0.17,16.8317,37994700
486,2023-03-02,USD,1.18,1.01,0.17,16.8317,37994700
487,2023-03-01,USD,1.18,1.01,0.17,16.8317,37994700
488,2023-02-28,USD,1.18,1.01,0.17,16.8317,37994700
489,2023-02-27,USD,1.18,1.01,0.17,16.8317,37994700
490,2023-02-26,USD,1.18,1.01,0.17,16.8317,37994700
491,2023-02-25,USD,1.18,1.01,0.17,16.8317,37994700
492,2023-02-24,USD,1.18,1.01,0.17,16.8317,37994700
493,2023-02-23,USD,1.18,1.01,0.17,16.8317,37994700
494,2023-02-22,USD,1.18,1.01,0.17,16.8317,37994700
495,2023-02-21,USD,1.18,1.01,0.17,16.8317,37994700
496,2023-02-20,USD,1.18,1.01,0.17,16.8317,37994700
497,2023-02-19,USD,1.18,1.01,0.17,16.8317,37994700
498,2023-02-18,USD,1.18,1.01,0.17,16.8317,37994700
499,2023-02-17,USD,1.18,1.01,0.17,16.8317,37994700
500,2023-02-16,USD,1.18,1.01,0.17,16.8317,37994700
501,2023-02-15,USD,1.18,1.01,0.17,16.8317,37994700
502,2023-02-14,USD,1.18,1.01,0.17,16.8317,37994700
503,2023-02-13,USD,1.18,1.01,0.17,16.8317,37994700
504,2023-02-12,USD,1.18,1.01,0.17,16.8317,37994700
505,2023-02-11,USD,1.18,1.01,0.17,16.8317,37994700
506,2023-02-10,USD,1.18,1.01,0.17,16.8317,37994700
507,2023-02-09,USD,1.18,1.01,0.17,16.8317,37994700
508,2023-02-08,USD,1.18,1.01,0.17,16.8317,37994700
509,2023-02-07,USD,1.18,1.01,0.17,16.8317,37994700
510,2023-02-06,USD,1.18,1.01,0.17,16.8317,37994700
511,2023-02-05,USD,1.18,1.01,0.17,16.8317,37994700
512,2023-02-04,USD,1.18,1.01,0.17,16.8317,37994700
513,2023-02-03,USD,1.18,1.01,0.17,16.8317,37994700
514,2023-02-02,USD,1.18,1.01,0.17,16.8317,37994700
515,2023-02-01,USD,1.18,1.01,0.17,16.8317,37994700
516,2023-01-31,USD,1.18,1.01,0.17,16.8317,37994700
517,2023-01-30,USD,1.18,1.01,0.17,16.8317,37994700
518,2023-01-29,USD,1.18,1.01,0.17,16.8317,37994700
519,2023-01-28,USD,1.18,1.01,0.17,16.8317,37994700
520,2023-01-27,USD,1.18,1.01,0.17,16.8317,37994700
521,2023-01-26,USD,1.18,1.01,0.17,16.8317,37994700
522,2023-01-25,USD,1.18,1.01,0.17,16.8317,37994700
523,2023-01-24,USD,1.18,1.01,0.17,16.8317,37994700
524,2023-01-23,USD,1.18,1.01,0.17,16.8317,37994700
525,2023-01-22,USD,1.18,1.01,0.17,16.8317,37994700
526,2023-01-21,USD,1.18,1.01,0.17,16.8317,37994700
527,2023-01-20,USD,1.18,1.01,0.17,16.8317,37994700
528,2023-01-19,USD,1.18,1.01,0.17,16.8317,37994700
529,2023-01-18,USD,1.18,1.01,0.17,16.8317,37994700
530,2023-01-17,USD,1.18,1.01,0.17,16.8317,37994700
531,2023-01-16,USD,1.18,1.01,0.17,16.8317,37994700
532,2023-01-15,USD,1.18,1.01,0.17,16.8317,37994700
533,2023-01-14,USD,1.18,1.01,0.17,16.8317,37994700
