index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,-0.69,-0.63,-0.06,-9.5238,
336,2023-07-30,USD,-0.69,-0.63,-0.06,-9.5238,
337,2023-07-29,USD,-0.69,-0.63,-0.06,-9.5238,
338,2023-07-28,USD,-0.69,-0.63,-0.06,-9.5238,
339,2023-07-27,USD,-0.69,-0.63,-0.06,-9.5238,
340,2023-07-26,USD,-0.69,-0.63,-0.06,-9.5238,
341,2023-07-25,USD,-0.69,-0.63,-0.06,-9.5238,
342,2023-07-24,USD,-0.69,-0.63,-0.06,-9.5238,
343,2023-07-23,USD,-0.69,-0.63,-0.06,-9.5238,
344,2023-07-22,USD,-0.69,-0.63,-0.06,-9.5238,
345,2023-07-21,USD,-0.69,-0.63,-0.06,-9.5238,
346,2023-07-20,USD,-0.69,-0.63,-0.06,-9.5238,
347,2023-07-19,USD,-0.69,-0.63,-0.06,-9.5238,
348,2023-07-18,USD,-0.69,-0.63,-0.06,-9.5238,
349,2023-07-17,USD,-0.69,-0.63,-0.06,-9.5238,
350,2023-07-16,USD,-0.69,-0.63,-0.06,-9.5238,
351,2023-07-15,USD,-0.69,-0.63,-0.06,-9.5238,
352,2023-07-14,USD,-0.69,-0.63,-0.06,-9.5238,
353,2023-07-13,USD,-0.69,-0.63,-0.06,-9.5238,
354,2023-07-12,USD,-0.69,-0.63,-0.06,-9.5238,
355,2023-07-11,USD,-0.69,-0.63,-0.06,-9.5238,
356,2023-07-10,USD,-0.69,-0.63,-0.06,-9.5238,
357,2023-07-09,USD,-0.69,-0.63,-0.06,-9.5238,
358,2023-07-08,USD,-0.69,-0.63,-0.06,-9.5238,
359,2023-07-07,USD,-0.69,-0.63,-0.06,-9.5238,
360,2023-07-06,USD,-0.69,-0.63,-0.06,-9.5238,
361,2023-07-05,USD,-0.69,-0.63,-0.06,-9.5238,
362,2023-07-04,USD,-0.69,-0.63,-0.06,-9.5238,
363,2023-07-03,USD,-0.69,-0.63,-0.06,-9.5238,
364,2023-07-02,USD,-0.69,-0.63,-0.06,-9.5238,
365,2023-07-01,USD,-0.69,-0.63,-0.06,-9.5238,
366,2023-06-30,USD,-0.69,-0.63,-0.06,-9.5238,19858000
367,2023-06-29,USD,-0.8,-0.39,-0.41,-105.1282,19642000
368,2023-06-28,USD,-0.8,-0.39,-0.41,-105.1282,19642000
369,2023-06-27,USD,-0.8,-0.39,-0.41,-105.1282,19642000
370,2023-06-26,USD,-0.8,-0.39,-0.41,-105.1282,19642000
371,2023-06-25,USD,-0.8,-0.39,-0.41,-105.1282,19642000
372,2023-06-24,USD,-0.8,-0.39,-0.41,-105.1282,19642000
373,2023-06-23,USD,-0.8,-0.39,-0.41,-105.1282,19642000
374,2023-06-22,USD,-0.8,-0.39,-0.41,-105.1282,19642000
375,2023-06-21,USD,-0.8,-0.39,-0.41,-105.1282,19642000
376,2023-06-20,USD,-0.8,-0.39,-0.41,-105.1282,19642000
377,2023-06-19,USD,-0.8,-0.39,-0.41,-105.1282,19642000
378,2023-06-18,USD,-0.8,-0.39,-0.41,-105.1282,19642000
379,2023-06-17,USD,-0.8,-0.39,-0.41,-105.1282,19642000
380,2023-06-16,USD,-0.8,-0.39,-0.41,-105.1282,19642000
381,2023-06-15,USD,-0.8,-0.39,-0.41,-105.1282,19642000
382,2023-06-14,USD,-0.8,-0.39,-0.41,-105.1282,19642000
383,2023-06-13,USD,-0.8,-0.39,-0.41,-105.1282,19642000
384,2023-06-12,USD,-0.8,-0.39,-0.41,-105.1282,19642000
385,2023-06-11,USD,-0.8,-0.39,-0.41,-105.1282,19642000
386,2023-06-10,USD,-0.8,-0.39,-0.41,-105.1282,19642000
387,2023-06-09,USD,-0.8,-0.39,-0.41,-105.1282,19642000
388,2023-06-08,USD,-0.8,-0.39,-0.41,-105.1282,19642000
389,2023-06-07,USD,-0.8,-0.39,-0.41,-105.1282,19642000
390,2023-06-06,USD,-0.8,-0.39,-0.41,-105.1282,19642000
391,2023-06-05,USD,-0.8,-0.39,-0.41,-105.1282,19642000
392,2023-06-04,USD,-0.8,-0.39,-0.41,-105.1282,19642000
393,2023-06-03,USD,-0.8,-0.39,-0.41,-105.1282,19642000
394,2023-06-02,USD,-0.8,-0.39,-0.41,-105.1282,19642000
395,2023-06-01,USD,-0.8,-0.39,-0.41,-105.1282,19642000
396,2023-05-31,USD,-0.8,-0.39,-0.41,-105.1282,19642000
397,2023-05-30,USD,-0.8,-0.39,-0.41,-105.1282,19642000
398,2023-05-29,USD,-0.8,-0.39,-0.41,-105.1282,19642000
399,2023-05-28,USD,-0.8,-0.39,-0.41,-105.1282,19642000
400,2023-05-27,USD,-0.8,-0.39,-0.41,-105.1282,19642000
401,2023-05-26,USD,-0.8,-0.39,-0.41,-105.1282,19642000
402,2023-05-25,USD,-0.8,-0.39,-0.41,-105.1282,19642000
403,2023-05-24,USD,-0.8,-0.39,-0.41,-105.1282,19642000
404,2023-05-23,USD,-0.8,-0.39,-0.41,-105.1282,19642000
405,2023-05-22,USD,-0.8,-0.39,-0.41,-105.1282,19642000
406,2023-05-21,USD,-0.8,-0.39,-0.41,-105.1282,19642000
407,2023-05-20,USD,-0.8,-0.39,-0.41,-105.1282,19642000
408,2023-05-19,USD,-0.8,-0.39,-0.41,-105.1282,19642000
409,2023-05-18,USD,-0.8,-0.39,-0.41,-105.1282,19642000
410,2023-05-17,USD,-0.8,-0.39,-0.41,-105.1282,19642000
411,2023-05-16,USD,-0.8,-0.39,-0.41,-105.1282,19642000
412,2023-05-15,USD,-0.8,-0.39,-0.41,-105.1282,19642000
413,2023-05-14,USD,-0.8,-0.39,-0.41,-105.1282,19642000
414,2023-05-13,USD,-0.8,-0.39,-0.41,-105.1282,19642000
415,2023-05-12,USD,-0.8,-0.39,-0.41,-105.1282,19642000
416,2023-05-11,USD,-0.8,-0.39,-0.41,-105.1282,19642000
417,2023-05-10,USD,-0.8,-0.39,-0.41,-105.1282,19642000
418,2023-05-09,USD,-0.8,-0.39,-0.41,-105.1282,19642000
419,2023-05-08,USD,-0.8,-0.39,-0.41,-105.1282,19642000
420,2023-05-07,USD,-0.8,-0.39,-0.41,-105.1282,19642000
421,2023-05-06,USD,-0.8,-0.39,-0.41,-105.1282,19642000
422,2023-05-05,USD,-0.8,-0.39,-0.41,-105.1282,19642000
423,2023-05-04,USD,-0.8,-0.39,-0.41,-105.1282,19642000
424,2023-05-03,USD,-0.8,-0.39,-0.41,-105.1282,19642000
425,2023-05-02,USD,-0.8,-0.39,-0.41,-105.1282,19642000
426,2023-05-01,USD,-0.8,-0.39,-0.41,-105.1282,19642000
427,2023-04-30,USD,-0.8,-0.39,-0.41,-105.1282,19642000
428,2023-04-29,USD,-0.8,-0.39,-0.41,-105.1282,19642000
429,2023-04-28,USD,-0.8,-0.39,-0.41,-105.1282,19642000
430,2023-04-27,USD,-0.8,-0.39,-0.41,-105.1282,19642000
431,2023-04-26,USD,-0.8,-0.39,-0.41,-105.1282,19642000
432,2023-04-25,USD,-0.8,-0.39,-0.41,-105.1282,19642000
433,2023-04-24,USD,-0.8,-0.39,-0.41,-105.1282,19642000
434,2023-04-23,USD,-0.8,-0.39,-0.41,-105.1282,19642000
435,2023-04-22,USD,-0.8,-0.39,-0.41,-105.1282,19642000
436,2023-04-21,USD,-0.8,-0.39,-0.41,-105.1282,19642000
437,2023-04-20,USD,-0.8,-0.39,-0.41,-105.1282,19642000
438,2023-04-19,USD,-0.8,-0.39,-0.41,-105.1282,19642000
439,2023-04-18,USD,-0.8,-0.39,-0.41,-105.1282,19642000
440,2023-04-17,USD,-0.8,-0.39,-0.41,-105.1282,19642000
441,2023-04-16,USD,-0.8,-0.39,-0.41,-105.1282,19642000
