index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,0.52,0.05,0.47,940,
336,2023-07-30,USD,0.52,0.05,0.47,940,
337,2023-07-29,USD,0.52,0.05,0.47,940,
338,2023-07-28,USD,0.52,0.05,0.47,940,
339,2023-07-27,USD,0.52,0.05,0.47,940,
340,2023-07-26,USD,0.52,0.05,0.47,940,
341,2023-07-25,USD,0.52,0.05,0.47,940,
342,2023-07-24,USD,0.52,0.05,0.47,940,
343,2023-07-23,USD,0.52,0.05,0.47,940,
344,2023-07-22,USD,0.52,0.05,0.47,940,
345,2023-07-21,USD,0.52,0.05,0.47,940,
346,2023-07-20,USD,0.52,0.05,0.47,940,
347,2023-07-19,USD,0.52,0.05,0.47,940,
348,2023-07-18,USD,0.52,0.05,0.47,940,
349,2023-07-17,USD,0.52,0.05,0.47,940,
350,2023-07-16,USD,0.52,0.05,0.47,940,
351,2023-07-15,USD,0.52,0.05,0.47,940,
352,2023-07-14,USD,0.52,0.05,0.47,940,
353,2023-07-13,USD,0.52,0.05,0.47,940,
354,2023-07-12,USD,0.52,0.05,0.47,940,
355,2023-07-11,USD,0.52,0.05,0.47,940,
356,2023-07-10,USD,0.52,0.05,0.47,940,
357,2023-07-09,USD,0.52,0.05,0.47,940,
358,2023-07-08,USD,0.52,0.05,0.47,940,
359,2023-07-07,USD,0.52,0.05,0.47,940,
360,2023-07-06,USD,0.52,0.05,0.47,940,
361,2023-07-05,USD,0.52,0.05,0.47,940,
362,2023-07-04,USD,0.52,0.05,0.47,940,
363,2023-07-03,USD,0.52,0.05,0.47,940,
364,2023-07-02,USD,0.52,0.05,0.47,940,
365,2023-07-01,USD,0.52,0.05,0.47,940,
366,2023-06-30,USD,0.52,0.05,0.47,940,14072000
367,2023-06-29,USD,-0.4,-0.51,0.11,21.5686,14030000
368,2023-06-28,USD,-0.4,-0.51,0.11,21.5686,14030000
369,2023-06-27,USD,-0.4,-0.51,0.11,21.5686,14030000
370,2023-06-26,USD,-0.4,-0.51,0.11,21.5686,14030000
371,2023-06-25,USD,-0.4,-0.51,0.11,21.5686,14030000
372,2023-06-24,USD,-0.4,-0.51,0.11,21.5686,14030000
373,2023-06-23,USD,-0.4,-0.51,0.11,21.5686,14030000
374,2023-06-22,USD,-0.4,-0.51,0.11,21.5686,14030000
375,2023-06-21,USD,-0.4,-0.51,0.11,21.5686,14030000
376,2023-06-20,USD,-0.4,-0.51,0.11,21.5686,14030000
377,2023-06-19,USD,-0.4,-0.51,0.11,21.5686,14030000
378,2023-06-18,USD,-0.4,-0.51,0.11,21.5686,14030000
379,2023-06-17,USD,-0.4,-0.51,0.11,21.5686,14030000
380,2023-06-16,USD,-0.4,-0.51,0.11,21.5686,14030000
381,2023-06-15,USD,-0.4,-0.51,0.11,21.5686,14030000
382,2023-06-14,USD,-0.4,-0.51,0.11,21.5686,14030000
383,2023-06-13,USD,-0.4,-0.51,0.11,21.5686,14030000
384,2023-06-12,USD,-0.4,-0.51,0.11,21.5686,14030000
385,2023-06-11,USD,-0.4,-0.51,0.11,21.5686,14030000
386,2023-06-10,USD,-0.4,-0.51,0.11,21.5686,14030000
387,2023-06-09,USD,-0.4,-0.51,0.11,21.5686,14030000
388,2023-06-08,USD,-0.4,-0.51,0.11,21.5686,14030000
389,2023-06-07,USD,-0.4,-0.51,0.11,21.5686,14030000
390,2023-06-06,USD,-0.4,-0.51,0.11,21.5686,14030000
391,2023-06-05,USD,-0.4,-0.51,0.11,21.5686,14030000
392,2023-06-04,USD,-0.4,-0.51,0.11,21.5686,14030000
