index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,0.66,0.72,-0.06,-8.3333,
336,2023-07-30,USD,0.66,0.72,-0.06,-8.3333,
337,2023-07-29,USD,0.66,0.72,-0.06,-8.3333,
338,2023-07-28,USD,0.66,0.72,-0.06,-8.3333,
339,2023-07-27,USD,0.66,0.72,-0.06,-8.3333,
340,2023-07-26,USD,0.66,0.72,-0.06,-8.3333,
341,2023-07-25,USD,0.66,0.72,-0.06,-8.3333,
342,2023-07-24,USD,0.66,0.72,-0.06,-8.3333,
343,2023-07-23,USD,0.66,0.72,-0.06,-8.3333,
344,2023-07-22,USD,0.66,0.72,-0.06,-8.3333,
345,2023-07-21,USD,0.66,0.72,-0.06,-8.3333,
346,2023-07-20,USD,0.66,0.72,-0.06,-8.3333,
347,2023-07-19,USD,0.66,0.72,-0.06,-8.3333,
348,2023-07-18,USD,0.66,0.72,-0.06,-8.3333,
349,2023-07-17,USD,0.66,0.72,-0.06,-8.3333,
350,2023-07-16,USD,0.66,0.72,-0.06,-8.3333,
351,2023-07-15,USD,0.66,0.72,-0.06,-8.3333,
352,2023-07-14,USD,0.66,0.72,-0.06,-8.3333,
353,2023-07-13,USD,0.66,0.72,-0.06,-8.3333,
354,2023-07-12,USD,0.66,0.72,-0.06,-8.3333,
355,2023-07-11,USD,0.66,0.72,-0.06,-8.3333,
356,2023-07-10,USD,0.66,0.72,-0.06,-8.3333,
357,2023-07-09,USD,0.66,0.72,-0.06,-8.3333,
358,2023-07-08,USD,0.66,0.72,-0.06,-8.3333,
359,2023-07-07,USD,0.66,0.72,-0.06,-8.3333,
360,2023-07-06,USD,0.66,0.72,-0.06,-8.3333,
361,2023-07-05,USD,0.66,0.72,-0.06,-8.3333,
362,2023-07-04,USD,0.66,0.72,-0.06,-8.3333,
363,2023-07-03,USD,0.66,0.72,-0.06,-8.3333,
364,2023-07-02,USD,0.66,0.72,-0.06,-8.3333,
365,2023-07-01,USD,0.66,0.72,-0.06,-8.3333,
366,2023-06-30,USD,0.66,0.72,-0.06,-8.3333,6718000
367,2023-06-29,USD,0.65,0.87,-0.22,-25.2874,6697000
368,2023-06-28,USD,0.65,0.87,-0.22,-25.2874,6697000
369,2023-06-27,USD,0.65,0.87,-0.22,-25.2874,6697000
370,2023-06-26,USD,0.65,0.87,-0.22,-25.2874,6697000
371,2023-06-25,USD,0.65,0.87,-0.22,-25.2874,6697000
372,2023-06-24,USD,0.65,0.87,-0.22,-25.2874,6697000
373,2023-06-23,USD,0.65,0.87,-0.22,-25.2874,6697000
374,2023-06-22,USD,0.65,0.87,-0.22,-25.2874,6697000
375,2023-06-21,USD,0.65,0.87,-0.22,-25.2874,6697000
376,2023-06-20,USD,0.65,0.87,-0.22,-25.2874,6697000
377,2023-06-19,USD,0.65,0.87,-0.22,-25.2874,6697000
378,2023-06-18,USD,0.65,0.87,-0.22,-25.2874,6697000
379,2023-06-17,USD,0.65,0.87,-0.22,-25.2874,6697000
380,2023-06-16,USD,0.65,0.87,-0.22,-25.2874,6697000
381,2023-06-15,USD,0.65,0.87,-0.22,-25.2874,6697000
382,2023-06-14,USD,0.65,0.87,-0.22,-25.2874,6697000
383,2023-06-13,USD,0.65,0.87,-0.22,-25.2874,6697000
384,2023-06-12,USD,0.65,0.87,-0.22,-25.2874,6697000
385,2023-06-11,USD,0.65,0.87,-0.22,-25.2874,6697000
386,2023-06-10,USD,0.65,0.87,-0.22,-25.2874,6697000
387,2023-06-09,USD,0.65,0.87,-0.22,-25.2874,6697000
388,2023-06-08,USD,0.65,0.87,-0.22,-25.2874,6697000
389,2023-06-07,USD,0.65,0.87,-0.22,-25.2874,6697000
390,2023-06-06,USD,0.65,0.87,-0.22,-25.2874,6697000
391,2023-06-05,USD,0.65,0.87,-0.22,-25.2874,6697000
392,2023-06-04,USD,0.65,0.87,-0.22,-25.2874,6697000
393,2023-06-03,USD,0.65,0.87,-0.22,-25.2874,6697000
394,2023-06-02,USD,0.65,0.87,-0.22,-25.2874,6697000
395,2023-06-01,USD,0.65,0.87,-0.22,-25.2874,6697000
396,2023-05-31,USD,0.65,0.87,-0.22,-25.2874,6697000
397,2023-05-30,USD,0.65,0.87,-0.22,-25.2874,6697000
398,2023-05-29,USD,0.65,0.87,-0.22,-25.2874,6697000
399,2023-05-28,USD,0.65,0.87,-0.22,-25.2874,6697000
400,2023-05-27,USD,0.65,0.87,-0.22,-25.2874,6697000
401,2023-05-26,USD,0.65,0.87,-0.22,-25.2874,6697000
402,2023-05-25,USD,0.65,0.87,-0.22,-25.2874,6697000
403,2023-05-24,USD,0.65,0.87,-0.22,-25.2874,6697000
404,2023-05-23,USD,0.65,0.87,-0.22,-25.2874,6697000
405,2023-05-22,USD,0.65,0.87,-0.22,-25.2874,6697000
406,2023-05-21,USD,0.65,0.87,-0.22,-25.2874,6697000
407,2023-05-20,USD,0.65,0.87,-0.22,-25.2874,6697000
408,2023-05-19,USD,0.65,0.87,-0.22,-25.2874,6697000
409,2023-05-18,USD,0.65,0.87,-0.22,-25.2874,6697000
410,2023-05-17,USD,0.65,0.87,-0.22,-25.2874,6697000
411,2023-05-16,USD,0.65,0.87,-0.22,-25.2874,6697000
412,2023-05-15,USD,0.65,0.87,-0.22,-25.2874,6697000
413,2023-05-14,USD,0.65,0.87,-0.22,-25.2874,6697000
414,2023-05-13,USD,0.65,0.87,-0.22,-25.2874,6697000
415,2023-05-12,USD,0.65,0.87,-0.22,-25.2874,6697000
416,2023-05-11,USD,0.65,0.87,-0.22,-25.2874,6697000
417,2023-05-10,USD,0.65,0.87,-0.22,-25.2874,6697000
418,2023-05-09,USD,0.65,0.87,-0.22,-25.2874,6697000
419,2023-05-08,USD,0.65,0.87,-0.22,-25.2874,6697000
420,2023-05-07,USD,0.65,0.87,-0.22,-25.2874,6697000
421,2023-05-06,USD,0.65,0.87,-0.22,-25.2874,6697000
422,2023-05-05,USD,0.65,0.87,-0.22,-25.2874,6697000
423,2023-05-04,USD,0.65,0.87,-0.22,-25.2874,6697000
424,2023-05-03,USD,0.65,0.87,-0.22,-25.2874,6697000
425,2023-05-02,USD,0.65,0.87,-0.22,-25.2874,6697000
426,2023-05-01,USD,0.65,0.87,-0.22,-25.2874,6697000
427,2023-04-30,USD,0.65,0.87,-0.22,-25.2874,6697000
428,2023-04-29,USD,0.65,0.87,-0.22,-25.2874,6697000
429,2023-04-28,USD,0.65,0.87,-0.22,-25.2874,6697000
430,2023-04-27,USD,0.65,0.87,-0.22,-25.2874,6697000
431,2023-04-26,USD,0.65,0.87,-0.22,-25.2874,6697000
432,2023-04-25,USD,0.65,0.87,-0.22,-25.2874,6697000
433,2023-04-24,USD,0.65,0.87,-0.22,-25.2874,6697000
434,2023-04-23,USD,0.65,0.87,-0.22,-25.2874,6697000
