index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,0.25,0.27,-0.02,-7.4074,
336,2023-07-30,USD,0.25,0.27,-0.02,-7.4074,
337,2023-07-29,USD,0.25,0.27,-0.02,-7.4074,
338,2023-07-28,USD,0.25,0.27,-0.02,-7.4074,
339,2023-07-27,USD,0.25,0.27,-0.02,-7.4074,
340,2023-07-26,USD,0.25,0.27,-0.02,-7.4074,
341,2023-07-25,USD,0.25,0.27,-0.02,-7.4074,
342,2023-07-24,USD,0.25,0.27,-0.02,-7.4074,
343,2023-07-23,USD,0.25,0.27,-0.02,-7.4074,
344,2023-07-22,USD,0.25,0.27,-0.02,-7.4074,
345,2023-07-21,USD,0.25,0.27,-0.02,-7.4074,
346,2023-07-20,USD,0.25,0.27,-0.02,-7.4074,
347,2023-07-19,USD,0.25,0.27,-0.02,-7.4074,
348,2023-07-18,USD,0.25,0.27,-0.02,-7.4074,
349,2023-07-17,USD,0.25,0.27,-0.02,-7.4074,
350,2023-07-16,USD,0.25,0.27,-0.02,-7.4074,
351,2023-07-15,USD,0.25,0.27,-0.02,-7.4074,
352,2023-07-14,USD,0.25,0.27,-0.02,-7.4074,
353,2023-07-13,USD,0.25,0.27,-0.02,-7.4074,
354,2023-07-12,USD,0.25,0.27,-0.02,-7.4074,
355,2023-07-11,USD,0.25,0.27,-0.02,-7.4074,
356,2023-07-10,USD,0.25,0.27,-0.02,-7.4074,
357,2023-07-09,USD,0.25,0.27,-0.02,-7.4074,
358,2023-07-08,USD,0.25,0.27,-0.02,-7.4074,
359,2023-07-07,USD,0.25,0.27,-0.02,-7.4074,
360,2023-07-06,USD,0.25,0.27,-0.02,-7.4074,
361,2023-07-05,USD,0.25,0.27,-0.02,-7.4074,
362,2023-07-04,USD,0.25,0.27,-0.02,-7.4074,
363,2023-07-03,USD,0.25,0.27,-0.02,-7.4074,
364,2023-07-02,USD,0.25,0.27,-0.02,-7.4074,
365,2023-07-01,USD,0.25,0.27,-0.02,-7.4074,
366,2023-06-30,USD,0.25,0.27,-0.02,-7.4074,33591500
367,2023-06-29,USD,0.26,0.26,0,0,33311799.999999996
368,2023-06-28,USD,0.26,0.26,0,0,33311799.999999996
369,2023-06-27,USD,0.26,0.26,0,0,33311799.999999996
370,2023-06-26,USD,0.26,0.26,0,0,33311799.999999996
371,2023-06-25,USD,0.26,0.26,0,0,33311799.999999996
372,2023-06-24,USD,0.26,0.26,0,0,33311799.999999996
373,2023-06-23,USD,0.26,0.26,0,0,33311799.999999996
374,2023-06-22,USD,0.26,0.26,0,0,33311799.999999996
375,2023-06-21,USD,0.26,0.26,0,0,33311799.999999996
376,2023-06-20,USD,0.26,0.26,0,0,33311799.999999996
377,2023-06-19,USD,0.26,0.26,0,0,33311799.999999996
378,2023-06-18,USD,0.26,0.26,0,0,33311799.999999996
379,2023-06-17,USD,0.26,0.26,0,0,33311799.999999996
380,2023-06-16,USD,0.26,0.26,0,0,33311799.999999996
381,2023-06-15,USD,0.26,0.26,0,0,33311799.999999996
382,2023-06-14,USD,0.26,0.26,0,0,33311799.999999996
383,2023-06-13,USD,0.26,0.26,0,0,33311799.999999996
384,2023-06-12,USD,0.26,0.26,0,0,33311799.999999996
385,2023-06-11,USD,0.26,0.26,0,0,33311799.999999996
386,2023-06-10,USD,0.26,0.26,0,0,33311799.999999996
387,2023-06-09,USD,0.26,0.26,0,0,33311799.999999996
388,2023-06-08,USD,0.26,0.26,0,0,33311799.999999996
389,2023-06-07,USD,0.26,0.26,0,0,33311799.999999996
390,2023-06-06,USD,0.26,0.26,0,0,33311799.999999996
391,2023-06-05,USD,0.26,0.26,0,0,33311799.999999996
392,2023-06-04,USD,0.26,0.26,0,0,33311799.999999996
393,2023-06-03,USD,0.26,0.26,0,0,33311799.999999996
394,2023-06-02,USD,0.26,0.26,0,0,33311799.999999996
395,2023-06-01,USD,0.26,0.26,0,0,33311799.999999996
396,2023-05-31,USD,0.26,0.26,0,0,33311799.999999996
397,2023-05-30,USD,0.26,0.26,0,0,33311799.999999996
398,2023-05-29,USD,0.26,0.26,0,0,33311799.999999996
399,2023-05-28,USD,0.26,0.26,0,0,33311799.999999996
400,2023-05-27,USD,0.26,0.26,0,0,33311799.999999996
401,2023-05-26,USD,0.26,0.26,0,0,33311799.999999996
402,2023-05-25,USD,0.26,0.26,0,0,33311799.999999996
403,2023-05-24,USD,0.26,0.26,0,0,33311799.999999996
404,2023-05-23,USD,0.26,0.26,0,0,33311799.999999996
405,2023-05-22,USD,0.26,0.26,0,0,33311799.999999996
406,2023-05-21,USD,0.26,0.26,0,0,33311799.999999996
407,2023-05-20,USD,0.26,0.26,0,0,33311799.999999996
408,2023-05-19,USD,0.26,0.26,0,0,33311799.999999996
409,2023-05-18,USD,0.26,0.26,0,0,33311799.999999996
410,2023-05-17,USD,0.26,0.26,0,0,33311799.999999996
411,2023-05-16,USD,0.26,0.26,0,0,33311799.999999996
412,2023-05-15,USD,0.26,0.26,0,0,33311799.999999996
413,2023-05-14,USD,0.26,0.26,0,0,33311799.999999996
414,2023-05-13,USD,0.26,0.26,0,0,33311799.999999996
415,2023-05-12,USD,0.26,0.26,0,0,33311799.999999996
416,2023-05-11,USD,0.26,0.26,0,0,33311799.999999996
417,2023-05-10,USD,0.26,0.26,0,0,33311799.999999996
418,2023-05-09,USD,0.26,0.26,0,0,33311799.999999996
419,2023-05-08,USD,0.26,0.26,0,0,33311799.999999996
420,2023-05-07,USD,0.26,0.26,0,0,33311799.999999996
421,2023-05-06,USD,0.26,0.26,0,0,33311799.999999996
422,2023-05-05,USD,0.26,0.26,0,0,33311799.999999996
423,2023-05-04,USD,0.26,0.26,0,0,33311799.999999996
424,2023-05-03,USD,0.26,0.26,0,0,33311799.999999996
425,2023-05-02,USD,0.26,0.26,0,0,33311799.999999996
426,2023-05-01,USD,0.26,0.26,0,0,33311799.999999996
427,2023-04-30,USD,0.26,0.26,0,0,33311799.999999996
428,2023-04-29,USD,0.26,0.26,0,0,33311799.999999996
429,2023-04-28,USD,0.26,0.26,0,0,33311799.999999996
430,2023-04-27,USD,0.26,0.26,0,0,33311799.999999996
431,2023-04-26,USD,0.26,0.26,0,0,33311799.999999996
432,2023-04-25,USD,0.26,0.26,0,0,33311799.999999996
433,2023-04-24,USD,0.26,0.26,0,0,33311799.999999996
434,2023-04-23,USD,0.26,0.26,0,0,33311799.999999996
435,2023-04-22,USD,0.26,0.26,0,0,33311799.999999996
436,2023-04-21,USD,0.26,0.26,0,0,33311799.999999996
437,2023-04-20,USD,0.26,0.26,0,0,33311799.999999996
438,2023-04-19,USD,0.26,0.26,0,0,33311799.999999996
439,2023-04-18,USD,0.26,0.26,0,0,33311799.999999996
440,2023-04-17,USD,0.26,0.26,0,0,33311799.999999996
441,2023-04-16,USD,0.26,0.26,0,0,33311799.999999996
442,2023-04-15,USD,0.26,0.26,0,0,33311799.999999996
443,2023-04-14,USD,0.26,0.26,0,0,33311799.999999996
444,2023-04-13,USD,0.26,0.26,0,0,33311799.999999996
445,2023-04-12,USD,0.26,0.26,0,0,33311799.999999996
446,2023-04-11,USD,0.26,0.26,0,0,33311799.999999996
447,2023-04-10,USD,0.26,0.26,0,0,33311799.999999996
448,2023-04-09,USD,0.26,0.26,0,0,33311799.999999996
449,2023-04-08,USD,0.26,0.26,0,0,33311799.999999996
450,2023-04-07,USD,0.26,0.26,0,0,33311799.999999996
451,2023-04-06,USD,0.26,0.26,0,0,33311799.999999996
452,2023-04-05,USD,0.26,0.26,0,0,33311799.999999996
453,2023-04-04,USD,0.26,0.26,0,0,33311799.999999996
454,2023-04-03,USD,0.26,0.26,0,0,33311799.999999996
455,2023-04-02,USD,0.26,0.26,0,0,33311799.999999996
456,2023-04-01,USD,0.26,0.26,0,0,33311799.999999996
457,2023-03-31,USD,0.26,0.26,0,0,33311799.999999996
458,2023-03-30,USD,0.26,0.26,0,0,33316100
459,2023-03-29,USD,0.26,0.26,0,0,33316100
460,2023-03-28,USD,0.26,0.26,0,0,33316100
461,2023-03-27,USD,0.26,0.26,0,0,33316100
462,2023-03-26,USD,0.26,0.26,0,0,33316100
463,2023-03-25,USD,0.26,0.26,0,0,33316100
464,2023-03-24,USD,0.26,0.26,0,0,33316100
465,2023-03-23,USD,0.26,0.26,0,0,33316100
466,2023-03-22,USD,0.26,0.26,0,0,33316100
467,2023-03-21,USD,0.26,0.26,0,0,33316100
468,2023-03-20,USD,0.26,0.26,0,0,33316100
469,2023-03-19,USD,0.26,0.26,0,0,33316100
470,2023-03-18,USD,0.26,0.26,0,0,33316100
471,2023-03-17,USD,0.26,0.26,0,0,33316100
472,2023-03-16,USD,0.26,0.26,0,0,33316100
473,2023-03-15,USD,0.26,0.26,0,0,33316100
474,2023-03-14,USD,0.26,0.26,0,0,33316100
475,2023-03-13,USD,0.26,0.26,0,0,33316100
476,2023-03-12,USD,0.26,0.26,0,0,33316100
477,2023-03-11,USD,0.26,0.26,0,0,33316100
478,2023-03-10,USD,0.26,0.26,0,0,33316100
479,2023-03-09,USD,0.26,0.26,0,0,33316100
480,2023-03-08,USD,0.26,0.26,0,0,33316100
481,2023-03-07,USD,0.26,0.26,0,0,33316100
482,2023-03-06,USD,0.26,0.26,0,0,33316100
483,2023-03-05,USD,0.26,0.26,0,0,33316100
484,2023-03-04,USD,0.26,0.26,0,0,33316100
485,2023-03-03,USD,0.26,0.26,0,0,33316100
486,2023-03-02,USD,0.26,0.26,0,0,33316100
487,2023-03-01,USD,0.26,0.26,0,0,33316100
488,2023-02-28,USD,0.26,0.26,0,0,33316100
489,2023-02-27,USD,0.26,0.26,0,0,33316100
490,2023-02-26,USD,0.26,0.26,0,0,33316100
491,2023-02-25,USD,0.26,0.26,0,0,33316100
492,2023-02-24,USD,0.26,0.26,0,0,33316100
493,2023-02-23,USD,0.26,0.26,0,0,33316100
494,2023-02-22,USD,0.26,0.26,0,0,33316100
495,2023-02-21,USD,0.26,0.26,0,0,33316100
496,2023-02-20,USD,0.26,0.26,0,0,33316100
497,2023-02-19,USD,0.26,0.26,0,0,33316100
498,2023-02-18,USD,0.26,0.26,0,0,33316100
499,2023-02-17,USD,0.26,0.26,0,0,33316100
500,2023-02-16,USD,0.26,0.26,0,0,33316100
501,2023-02-15,USD,0.26,0.26,0,0,33316100
502,2023-02-14,USD,0.26,0.26,0,0,33316100
503,2023-02-13,USD,0.26,0.26,0,0,33316100
504,2023-02-12,USD,0.26,0.26,0,0,33316100
505,2023-02-11,USD,0.26,0.26,0,0,33316100
506,2023-02-10,USD,0.26,0.26,0,0,33316100
507,2023-02-09,USD,0.26,0.26,0,0,33316100
508,2023-02-08,USD,0.26,0.26,0,0,33316100
509,2023-02-07,USD,0.26,0.26,0,0,33316100
510,2023-02-06,USD,0.26,0.26,0,0,33316100
511,2023-02-05,USD,0.26,0.26,0,0,33316100
512,2023-02-04,USD,0.26,0.26,0,0,33316100
513,2023-02-03,USD,0.26,0.26,0,0,33316100
514,2023-02-02,USD,0.26,0.26,0,0,33316100
515,2023-02-01,USD,0.26,0.26,0,0,33316100
516,2023-01-31,USD,0.26,0.26,0,0,33316100
517,2023-01-30,USD,0.26,0.26,0,0,33316100
518,2023-01-29,USD,0.26,0.26,0,0,33316100
519,2023-01-28,USD,0.26,0.26,0,0,33316100
520,2023-01-27,USD,0.26,0.26,0,0,33316100
521,2023-01-26,USD,0.26,0.26,0,0,33316100
522,2023-01-25,USD,0.26,0.26,0,0,33316100
523,2023-01-24,USD,0.26,0.26,0,0,33316100
524,2023-01-23,USD,0.26,0.26,0,0,33316100
525,2023-01-22,USD,0.26,0.26,0,0,33316100
526,2023-01-21,USD,0.26,0.26,0,0,33316100
527,2023-01-20,USD,0.26,0.26,0,0,33316100
528,2023-01-19,USD,0.26,0.26,0,0,33316100
