index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,0.31,0.3,0.01,3.3333,
336,2023-07-30,USD,0.31,0.3,0.01,3.3333,
337,2023-07-29,USD,0.31,0.3,0.01,3.3333,
338,2023-07-28,USD,0.31,0.3,0.01,3.3333,
339,2023-07-27,USD,0.31,0.3,0.01,3.3333,
340,2023-07-26,USD,0.31,0.3,0.01,3.3333,
341,2023-07-25,USD,0.31,0.3,0.01,3.3333,
342,2023-07-24,USD,0.31,0.3,0.01,3.3333,
343,2023-07-23,USD,0.31,0.3,0.01,3.3333,
344,2023-07-22,USD,0.31,0.3,0.01,3.3333,
345,2023-07-21,USD,0.31,0.3,0.01,3.3333,
346,2023-07-20,USD,0.31,0.3,0.01,3.3333,
347,2023-07-19,USD,0.31,0.3,0.01,3.3333,
348,2023-07-18,USD,0.31,0.3,0.01,3.3333,
349,2023-07-17,USD,0.31,0.3,0.01,3.3333,
350,2023-07-16,USD,0.31,0.3,0.01,3.3333,
351,2023-07-15,USD,0.31,0.3,0.01,3.3333,
352,2023-07-14,USD,0.31,0.3,0.01,3.3333,
353,2023-07-13,USD,0.31,0.3,0.01,3.3333,
354,2023-07-12,USD,0.31,0.3,0.01,3.3333,
355,2023-07-11,USD,0.31,0.3,0.01,3.3333,
356,2023-07-10,USD,0.31,0.3,0.01,3.3333,
357,2023-07-09,USD,0.31,0.3,0.01,3.3333,
358,2023-07-08,USD,0.31,0.3,0.01,3.3333,
359,2023-07-07,USD,0.31,0.3,0.01,3.3333,
360,2023-07-06,USD,0.31,0.3,0.01,3.3333,
361,2023-07-05,USD,0.31,0.3,0.01,3.3333,
362,2023-07-04,USD,0.31,0.3,0.01,3.3333,
363,2023-07-03,USD,0.31,0.3,0.01,3.3333,
364,2023-07-02,USD,0.31,0.3,0.01,3.3333,
365,2023-07-01,USD,0.31,0.3,0.01,3.3333,
366,2023-06-30,USD,0.31,0.3,0.01,3.3333,406751000
367,2023-06-29,USD,0.29,0.25,0.04,16,406157000
368,2023-06-28,USD,0.29,0.25,0.04,16,406157000
369,2023-06-27,USD,0.29,0.25,0.04,16,406157000
370,2023-06-26,USD,0.29,0.25,0.04,16,406157000
371,2023-06-25,USD,0.29,0.25,0.04,16,406157000
372,2023-06-24,USD,0.29,0.25,0.04,16,406157000
373,2023-06-23,USD,0.29,0.25,0.04,16,406157000
374,2023-06-22,USD,0.29,0.25,0.04,16,406157000
375,2023-06-21,USD,0.29,0.25,0.04,16,406157000
376,2023-06-20,USD,0.29,0.25,0.04,16,406157000
377,2023-06-19,USD,0.29,0.25,0.04,16,406157000
378,2023-06-18,USD,0.29,0.25,0.04,16,406157000
379,2023-06-17,USD,0.29,0.25,0.04,16,406157000
380,2023-06-16,USD,0.29,0.25,0.04,16,406157000
381,2023-06-15,USD,0.29,0.25,0.04,16,406157000
382,2023-06-14,USD,0.29,0.25,0.04,16,406157000
383,2023-06-13,USD,0.29,0.25,0.04,16,406157000
384,2023-06-12,USD,0.29,0.25,0.04,16,406157000
385,2023-06-11,USD,0.29,0.25,0.04,16,406157000
386,2023-06-10,USD,0.29,0.25,0.04,16,406157000
387,2023-06-09,USD,0.29,0.25,0.04,16,406157000
388,2023-06-08,USD,0.29,0.25,0.04,16,406157000
389,2023-06-07,USD,0.29,0.25,0.04,16,406157000
390,2023-06-06,USD,0.29,0.25,0.04,16,406157000
391,2023-06-05,USD,0.29,0.25,0.04,16,406157000
392,2023-06-04,USD,0.29,0.25,0.04,16,406157000
393,2023-06-03,USD,0.29,0.25,0.04,16,406157000
394,2023-06-02,USD,0.29,0.25,0.04,16,406157000
395,2023-06-01,USD,0.29,0.25,0.04,16,406157000
396,2023-05-31,USD,0.29,0.25,0.04,16,406157000
397,2023-05-30,USD,0.29,0.25,0.04,16,406157000
398,2023-05-29,USD,0.29,0.25,0.04,16,406157000
399,2023-05-28,USD,0.29,0.25,0.04,16,406157000
400,2023-05-27,USD,0.29,0.25,0.04,16,406157000
401,2023-05-26,USD,0.29,0.25,0.04,16,406157000
402,2023-05-25,USD,0.29,0.25,0.04,16,406157000
403,2023-05-24,USD,0.29,0.25,0.04,16,406157000
404,2023-05-23,USD,0.29,0.25,0.04,16,406157000
405,2023-05-22,USD,0.29,0.25,0.04,16,406157000
406,2023-05-21,USD,0.29,0.25,0.04,16,406157000
407,2023-05-20,USD,0.29,0.25,0.04,16,406157000
408,2023-05-19,USD,0.29,0.25,0.04,16,406157000
409,2023-05-18,USD,0.29,0.25,0.04,16,406157000
410,2023-05-17,USD,0.29,0.25,0.04,16,406157000
411,2023-05-16,USD,0.29,0.25,0.04,16,406157000
412,2023-05-15,USD,0.29,0.25,0.04,16,406157000
413,2023-05-14,USD,0.29,0.25,0.04,16,406157000
414,2023-05-13,USD,0.29,0.25,0.04,16,406157000
415,2023-05-12,USD,0.29,0.25,0.04,16,406157000
416,2023-05-11,USD,0.29,0.25,0.04,16,406157000
417,2023-05-10,USD,0.29,0.25,0.04,16,406157000
418,2023-05-09,USD,0.29,0.25,0.04,16,406157000
419,2023-05-08,USD,0.29,0.25,0.04,16,406157000
420,2023-05-07,USD,0.29,0.25,0.04,16,406157000
421,2023-05-06,USD,0.29,0.25,0.04,16,406157000
422,2023-05-05,USD,0.29,0.25,0.04,16,406157000
423,2023-05-04,USD,0.29,0.25,0.04,16,406157000
424,2023-05-03,USD,0.29,0.25,0.04,16,406157000
425,2023-05-02,USD,0.29,0.25,0.04,16,406157000
426,2023-05-01,USD,0.29,0.25,0.04,16,406157000
427,2023-04-30,USD,0.29,0.25,0.04,16,406157000
428,2023-04-29,USD,0.29,0.25,0.04,16,406157000
429,2023-04-28,USD,0.29,0.25,0.04,16,406157000
430,2023-04-27,USD,0.29,0.25,0.04,16,406157000
431,2023-04-26,USD,0.29,0.25,0.04,16,406157000
432,2023-04-25,USD,0.29,0.25,0.04,16,406157000
433,2023-04-24,USD,0.29,0.25,0.04,16,406157000
434,2023-04-23,USD,0.29,0.25,0.04,16,406157000
435,2023-04-22,USD,0.29,0.25,0.04,16,406157000
436,2023-04-21,USD,0.29,0.25,0.04,16,406157000
437,2023-04-20,USD,0.29,0.25,0.04,16,406157000
438,2023-04-19,USD,0.29,0.25,0.04,16,406157000
439,2023-04-18,USD,0.29,0.25,0.04,16,406157000
440,2023-04-17,USD,0.29,0.25,0.04,16,406157000
441,2023-04-16,USD,0.29,0.25,0.04,16,406157000
442,2023-04-15,USD,0.29,0.25,0.04,16,406157000
443,2023-04-14,USD,0.29,0.25,0.04,16,406157000
444,2023-04-13,USD,0.29,0.25,0.04,16,406157000
445,2023-04-12,USD,0.29,0.25,0.04,16,406157000
446,2023-04-11,USD,0.29,0.25,0.04,16,406157000
447,2023-04-10,USD,0.29,0.25,0.04,16,406157000
448,2023-04-09,USD,0.29,0.25,0.04,16,406157000
449,2023-04-08,USD,0.29,0.25,0.04,16,406157000
450,2023-04-07,USD,0.29,0.25,0.04,16,406157000
451,2023-04-06,USD,0.29,0.25,0.04,16,406157000
452,2023-04-05,USD,0.29,0.25,0.04,16,406157000
453,2023-04-04,USD,0.29,0.25,0.04,16,406157000
454,2023-04-03,USD,0.29,0.25,0.04,16,406157000
455,2023-04-02,USD,0.29,0.25,0.04,16,406157000
456,2023-04-01,USD,0.29,0.25,0.04,16,406157000
457,2023-03-31,USD,0.29,0.25,0.04,16,406157000
458,2023-03-30,USD,0.38,0.36,0.02,5.5556,406087000
459,2023-03-29,USD,0.38,0.36,0.02,5.5556,406087000
460,2023-03-28,USD,0.38,0.36,0.02,5.5556,406087000
461,2023-03-27,USD,0.38,0.36,0.02,5.5556,406087000
462,2023-03-26,USD,0.38,0.36,0.02,5.5556,406087000
463,2023-03-25,USD,0.38,0.36,0.02,5.5556,406087000
464,2023-03-24,USD,0.38,0.36,0.02,5.5556,406087000
465,2023-03-23,USD,0.38,0.36,0.02,5.5556,406087000
466,2023-03-22,USD,0.38,0.36,0.02,5.5556,406087000
467,2023-03-21,USD,0.38,0.36,0.02,5.5556,406087000
468,2023-03-20,USD,0.38,0.36,0.02,5.5556,406087000
469,2023-03-19,USD,0.38,0.36,0.02,5.5556,406087000
470,2023-03-18,USD,0.38,0.36,0.02,5.5556,406087000
471,2023-03-17,USD,0.38,0.36,0.02,5.5556,406087000
472,2023-03-16,USD,0.38,0.36,0.02,5.5556,406087000
473,2023-03-15,USD,0.38,0.36,0.02,5.5556,406087000
474,2023-03-14,USD,0.38,0.36,0.02,5.5556,406087000
475,2023-03-13,USD,0.38,0.36,0.02,5.5556,406087000
476,2023-03-12,USD,0.38,0.36,0.02,5.5556,406087000
477,2023-03-11,USD,0.38,0.36,0.02,5.5556,406087000
478,2023-03-10,USD,0.38,0.36,0.02,5.5556,406087000
479,2023-03-09,USD,0.38,0.36,0.02,5.5556,406087000
480,2023-03-08,USD,0.38,0.36,0.02,5.5556,406087000
481,2023-03-07,USD,0.38,0.36,0.02,5.5556,406087000
482,2023-03-06,USD,0.38,0.36,0.02,5.5556,406087000
483,2023-03-05,USD,0.38,0.36,0.02,5.5556,406087000
484,2023-03-04,USD,0.38,0.36,0.02,5.5556,406087000
485,2023-03-03,USD,0.38,0.36,0.02,5.5556,406087000
486,2023-03-02,USD,0.38,0.36,0.02,5.5556,406087000
487,2023-03-01,USD,0.38,0.36,0.02,5.5556,406087000
488,2023-02-28,USD,0.38,0.36,0.02,5.5556,406087000
489,2023-02-27,USD,0.38,0.36,0.02,5.5556,406087000
490,2023-02-26,USD,0.38,0.36,0.02,5.5556,406087000
491,2023-02-25,USD,0.38,0.36,0.02,5.5556,406087000
492,2023-02-24,USD,0.38,0.36,0.02,5.5556,406087000
493,2023-02-23,USD,0.38,0.36,0.02,5.5556,406087000
494,2023-02-22,USD,0.38,0.36,0.02,5.5556,406087000
495,2023-02-21,USD,0.38,0.36,0.02,5.5556,406087000
496,2023-02-20,USD,0.38,0.36,0.02,5.5556,406087000
497,2023-02-19,USD,0.38,0.36,0.02,5.5556,406087000
498,2023-02-18,USD,0.38,0.36,0.02,5.5556,406087000
499,2023-02-17,USD,0.38,0.36,0.02,5.5556,406087000
500,2023-02-16,USD,0.38,0.36,0.02,5.5556,406087000
501,2023-02-15,USD,0.38,0.36,0.02,5.5556,406087000
502,2023-02-14,USD,0.38,0.36,0.02,5.5556,406087000
503,2023-02-13,USD,0.38,0.36,0.02,5.5556,406087000
504,2023-02-12,USD,0.38,0.36,0.02,5.5556,406087000
505,2023-02-11,USD,0.38,0.36,0.02,5.5556,406087000
506,2023-02-10,USD,0.38,0.36,0.02,5.5556,406087000
507,2023-02-09,USD,0.38,0.36,0.02,5.5556,406087000
508,2023-02-08,USD,0.38,0.36,0.02,5.5556,406087000
509,2023-02-07,USD,0.38,0.36,0.02,5.5556,406087000
510,2023-02-06,USD,0.38,0.36,0.02,5.5556,406087000
511,2023-02-05,USD,0.38,0.36,0.02,5.5556,406087000
512,2023-02-04,USD,0.38,0.36,0.02,5.5556,406087000
513,2023-02-03,USD,0.38,0.36,0.02,5.5556,406087000
514,2023-02-02,USD,0.38,0.36,0.02,5.5556,406087000
515,2023-02-01,USD,0.38,0.36,0.02,5.5556,406087000
516,2023-01-31,USD,0.38,0.36,0.02,5.5556,406087000
517,2023-01-30,USD,0.38,0.36,0.02,5.5556,406087000
518,2023-01-29,USD,0.38,0.36,0.02,5.5556,406087000
519,2023-01-28,USD,0.38,0.36,0.02,5.5556,406087000
520,2023-01-27,USD,0.38,0.36,0.02,5.5556,406087000
521,2023-01-26,USD,0.38,0.36,0.02,5.5556,406087000
522,2023-01-25,USD,0.38,0.36,0.02,5.5556,406087000
523,2023-01-24,USD,0.38,0.36,0.02,5.5556,406087000
524,2023-01-23,USD,0.38,0.36,0.02,5.5556,406087000
525,2023-01-22,USD,0.38,0.36,0.02,5.5556,406087000
526,2023-01-21,USD,0.38,0.36,0.02,5.5556,406087000
527,2023-01-20,USD,0.38,0.36,0.02,5.5556,406087000
528,2023-01-19,USD,0.38,0.36,0.02,5.5556,406087000
529,2023-01-18,USD,0.38,0.36,0.02,5.5556,406087000
530,2023-01-17,USD,0.38,0.36,0.02,5.5556,406087000
531,2023-01-16,USD,0.38,0.36,0.02,5.5556,406087000
532,2023-01-15,USD,0.38,0.36,0.02,5.5556,406087000
533,2023-01-14,USD,0.38,0.36,0.02,5.5556,406087000
534,2023-01-13,USD,0.38,0.36,0.02,5.5556,406087000
535,2023-01-12,USD,0.38,0.36,0.02,5.5556,406087000
536,2023-01-11,USD,0.38,0.36,0.02,5.5556,406087000
537,2023-01-10,USD,0.38,0.36,0.02,5.5556,406087000
538,2023-01-09,USD,0.38,0.36,0.02,5.5556,406087000
539,2023-01-08,USD,0.38,0.36,0.02,5.5556,406087000
540,2023-01-07,USD,0.38,0.36,0.02,5.5556,406087000
541,2023-01-06,USD,0.38,0.36,0.02,5.5556,406087000
542,2023-01-05,USD,0.38,0.36,0.02,5.5556,406087000
543,2023-01-04,USD,0.38,0.36,0.02,5.5556,406087000
544,2023-01-03,USD,0.38,0.36,0.02,5.5556,406087000
545,2023-01-02,USD,0.38,0.36,0.02,5.5556,406087000
546,2023-01-01,USD,0.38,0.36,0.02,5.5556,406087000
547,2022-12-31,USD,0.38,0.36,0.02,5.5556,406087000
548,2022-12-30,USD,0.3,0.24,0.06,25,396209000
549,2022-12-29,USD,0.3,0.24,0.06,25,396209000
550,2022-12-28,USD,0.3,0.24,0.06,25,396209000
551,2022-12-27,USD,0.3,0.24,0.06,25,396209000
552,2022-12-26,USD,0.3,0.24,0.06,25,396209000
553,2022-12-25,USD,0.3,0.24,0.06,25,396209000
554,2022-12-24,USD,0.3,0.24,0.06,25,396209000
555,2022-12-23,USD,0.3,0.24,0.06,25,396209000
556,2022-12-22,USD,0.3,0.24,0.06,25,396209000
557,2022-12-21,USD,0.3,0.24,0.06,25,396209000
558,2022-12-20,USD,0.3,0.24,0.06,25,396209000
559,2022-12-19,USD,0.3,0.24,0.06,25,396209000
560,2022-12-18,USD,0.3,0.24,0.06,25,396209000
561,2022-12-17,USD,0.3,0.24,0.06,25,396209000
562,2022-12-16,USD,0.3,0.24,0.06,25,396209000
563,2022-12-15,USD,0.3,0.24,0.06,25,396209000
564,2022-12-14,USD,0.3,0.24,0.06,25,396209000
565,2022-12-13,USD,0.3,0.24,0.06,25,396209000
566,2022-12-12,USD,0.3,0.24,0.06,25,396209000
567,2022-12-11,USD,0.3,0.24,0.06,25,396209000
568,2022-12-10,USD,0.3,0.24,0.06,25,396209000
569,2022-12-09,USD,0.3,0.24,0.06,25,396209000
570,2022-12-08,USD,0.3,0.24,0.06,25,396209000
571,2022-12-07,USD,0.3,0.24,0.06,25,396209000
572,2022-12-06,USD,0.3,0.24,0.06,25,396209000
573,2022-12-05,USD,0.3,0.24,0.06,25,396209000
574,2022-12-04,USD,0.3,0.24,0.06,25,396209000
575,2022-12-03,USD,0.3,0.24,0.06,25,396209000
576,2022-12-02,USD,0.3,0.24,0.06,25,396209000
577,2022-12-01,USD,0.3,0.24,0.06,25,396209000
578,2022-11-30,USD,0.3,0.24,0.06,25,396209000
579,2022-11-29,USD,0.3,0.24,0.06,25,396209000
580,2022-11-28,USD,0.3,0.24,0.06,25,396209000
581,2022-11-27,USD,0.3,0.24,0.06,25,396209000
582,2022-11-26,USD,0.3,0.24,0.06,25,396209000
583,2022-11-25,USD,0.3,0.24,0.06,25,396209000
584,2022-11-24,USD,0.3,0.24,0.06,25,396209000
585,2022-11-23,USD,0.3,0.24,0.06,25,396209000
586,2022-11-22,USD,0.3,0.24,0.06,25,396209000
587,2022-11-21,USD,0.3,0.24,0.06,25,396209000
588,2022-11-20,USD,0.3,0.24,0.06,25,396209000
589,2022-11-19,USD,0.3,0.24,0.06,25,396209000
590,2022-11-18,USD,0.3,0.24,0.06,25,396209000
591,2022-11-17,USD,0.3,0.24,0.06,25,396209000
592,2022-11-16,USD,0.3,0.24,0.06,25,396209000
593,2022-11-15,USD,0.3,0.24,0.06,25,396209000
594,2022-11-14,USD,0.3,0.24,0.06,25,396209000
595,2022-11-13,USD,0.3,0.24,0.06,25,396209000
