date,open,high,low,close,adjusted_close,volume
2023-07-31,91.57,93.53,90.5,93.18,93.18,263800
2023-07-28,90.24,92.1,89.28,91.3,91.3,296600
2023-07-27,92.21,92.62,89.13,89.52,89.52,295300
2023-07-26,91.0,92.7,90.47,91.44,91.44,152200
2023-07-25,91.1,93.41,90.8,90.93,90.93,305900
2023-07-24,90.61,91.96,88.7,91.7,91.7,352900
2023-07-21,91.28,93.16,90.25,90.61,90.61,316800
2023-07-20,91.84,93.788,89.78,90.32,90.32,450500
2023-07-19,98.72,99.63,92.03,92.11,92.11,667700
2023-07-18,93.44,96.285,93.29,96.07,96.07,396000
2023-07-17,91.04,94.89,90.62,94.04,94.04,515300
2023-07-14,90.0,92.94,89.01,91.51,91.51,497400
2023-07-13,89.55,91.105,88.125,90.16,90.16,646800
2023-07-12,88.02,89.585,86.77,88.77,88.77,467400
2023-07-11,86.84,87.88,85.42,86.77,86.77,534000
2023-07-10,81.32,86.49,81.24,86.45,86.45,358100
2023-07-07,81.77,83.38,81.06,81.54,81.54,260400
2023-07-06,80.76,82.465,80.04,81.67,81.67,298800
2023-07-05,82.63,84.02,80.63,81.82,81.82,505700
2023-07-03,84.71,84.71,81.32,82.62,82.62,166100
2023-06-30,85.4,86.922,83.26,83.98,83.98,502800
2023-06-29,85.87,87.98,84.151,84.59,84.59,446800
2023-06-28,81.72,85.87,80.97,85.87,85.87,566600
2023-06-27,80.0,82.74,79.535,81.6,81.6,431240
2023-06-26,79.65,82.19,79.01,79.99,79.99,306809
2023-06-23,80.0,81.6,79.5,80.07,80.07,488700
2023-06-22,80.89,83.33,80.84,81.28,81.28,315100
2023-06-21,80.01,81.45,78.0,81.23,81.23,442100
2023-06-20,78.0,80.66,77.66,80.35,80.35,378400
2023-06-16,80.85,81.135,77.81,78.63,78.63,458700
2023-06-15,80.81,81.46,79.54,79.64,79.64,488800
2023-06-14,84.33,85.51,81.36,81.76,81.76,422400
2023-06-13,82.5,84.48,81.86,83.92,83.92,297200
2023-06-12,79.72,82.03,79.505,81.96,81.96,612500
2023-06-09,80.39,82.2,78.53,79.35,79.35,1601100
2023-06-08,79.7,80.35,77.1,80.01,80.01,1280800
2023-06-07,80.0,80.98,77.705,79.34,79.34,525200
2023-06-06,74.47,80.175,74.47,79.4,79.4,1129500
2023-06-05,73.88,75.315,73.35,74.76,74.76,260200
2023-06-02,73.37,74.82,72.56,74.09,74.09,360300
2023-06-01,72.36,72.47,70.87,72.23,72.23,296100
2023-05-31,72.23,74.77,71.625,72.66,72.66,736100
2023-05-30,71.46,72.57,70.26,72.33,72.33,338200
2023-05-26,71.52,72.41,70.56,70.68,70.68,310600
2023-05-25,72.12,72.12,69.88,71.33,71.33,415700
2023-05-24,71.0,71.72,69.38,71.6,71.6,590700
2023-05-23,74.58,75.644,70.73,71.39,71.39,604400
2023-05-22,72.44,74.9,72.02,74.43,74.43,445300
2023-05-19,74.33,75.04,71.635,72.44,72.44,584900
2023-05-18,75.32,75.5,71.25,73.48,73.48,475200
2023-05-17,74.99,75.59,73.255,75.36,75.36,394100
2023-05-16,74.28,75.89,74.0,74.86,74.86,465200
2023-05-15,75.7,76.25,73.21,74.96,74.96,607100
2023-05-12,77.07,77.495,75.08,75.68,75.68,554900
2023-05-11,78.01,79.5,75.51,77.07,77.07,598500
2023-05-10,77.0,78.5,74.6,78.275,78.275,1017800
2023-05-09,71.1,76.86,70.65,75.46,75.46,2805200
2023-05-08,70.0,71.95,68.13,70.94,70.94,2551700
2023-05-05,74.42,77.28,73.94,74.02,74.02,464100
2023-05-04,72.59,73.73,71.68,73.39,73.39,276900
2023-05-03,74.11,75.44,71.505,73.02,73.02,719500
2023-05-02,78.58,80.94,73.56,73.82,73.82,1124200
2023-05-01,79.05,81.82,77.04,77.85,77.85,913500
2023-04-28,77.79,80.6,77.13,79.1,79.1,460000
2023-04-27,80.72,80.87,78.0,78.6,78.6,392500
2023-04-26,83.28,83.99,79.6,80.28,80.28,496200
2023-04-25,85.92,86.81,82.125,83.11,83.11,511500
2023-04-24,89.36,89.5,83.4,86.02,86.02,772500
2023-04-21,80.755,90.15,80.4,88.73,88.73,2077100
2023-04-20,72.16,79.38,71.92,79.05,79.05,811500
2023-04-19,70.73,72.97,68.65,72.62,72.62,395000
2023-04-18,69.99,71.34,68.44,71.19,71.19,371300
2023-04-17,67.0,70.43,66.0,69.64,69.64,636300
2023-04-14,69.93,70.12,66.01,66.23,66.23,625900
2023-04-13,70.72,71.115,69.73,70.27,70.27,327100
2023-04-12,72.43,72.54,69.91,70.08,70.08,424900
2023-04-11,73.0,74.23,71.35,71.36,71.36,339100
2023-04-10,72.5,73.18,71.33,72.73,72.73,434300
2023-04-06,72.0,73.765,71.14,73.15,73.15,389800
2023-04-05,76.68,77.29,70.57,72.52,72.52,670600
2023-04-04,75.6,78.435,74.51,77.22,77.22,397600
2023-04-03,75.4,76.13,73.38,75.18,75.18,524100
2023-03-31,74.35,78.9,74.045,75.73,75.73,543900
2023-03-30,74.72,75.2,73.0,73.77,73.77,255300
2023-03-29,75.5,75.99,73.5,73.62,73.62,224300
2023-03-28,75.74,76.63,74.19,74.69,74.69,228100
2023-03-27,75.5,77.09,74.524,75.87,75.87,210500
2023-03-24,73.25,75.26,72.45,74.71,74.71,261800
2023-03-23,74.83,77.05,72.36,73.81,73.81,326600
2023-03-22,75.79,77.65,74.23,74.31,74.31,366100
2023-03-21,76.805,77.0,74.384,75.59,75.59,335800
2023-03-20,73.92,76.3,73.3,75.04,75.04,276500
2023-03-17,75.6,76.74,73.16,73.295,73.295,530400
2023-03-16,74.0,77.02,73.22,76.1,76.1,344000
2023-03-15,74.16,76.11,73.5,74.73,74.73,368500
2023-03-14,75.67,77.73,74.71,75.91,75.91,553700
2023-03-13,70.51,75.44,70.0,73.01,73.01,595300
2023-03-10,77.05,77.91,70.81,71.52,71.52,803300
2023-03-09,82.69,83.48,76.36,77.27,77.27,836500
2023-03-08,80.16,82.425,79.0,82.19,82.19,442200
2023-03-07,81.21,81.423,79.78,80.16,80.16,591400
2023-03-06,82.52,82.6,79.9,80.94,80.94,407700
2023-03-03,80.08,82.53,80.0,82.33,82.33,420400
2023-03-02,79.45,81.98,79.0,80.05,80.05,400600
2023-03-01,79.51,81.6,78.67,81.34,81.34,374400
2023-02-28,78.0,81.69,77.83,80.07,80.07,786400
2023-02-27,79.14,79.74,74.58,77.96,77.96,921200
2023-02-24,77.31,79.65,76.05,78.61,78.61,737100
2023-02-23,74.9,78.39,69.5,77.8,77.8,2209600
2023-02-22,64.77,66.33,63.05,64.54,64.54,706600
2023-02-21,65.88,66.52,64.288,64.74,64.74,606100
2023-02-17,65.67,66.58,63.78,66.1,66.1,309400
2023-02-16,66.39,67.71,65.152,65.85,65.85,255400
2023-02-15,67.19,68.38,66.264,67.34,67.34,290900
2023-02-14,68.05,70.57,66.2,67.93,67.93,499100
2023-02-13,64.18,68.95,64.18,68.05,68.05,431800
2023-02-10,63.96,64.5,62.85,63.68,63.68,435700
2023-02-09,65.51,66.81,63.98,64.35,64.35,326200
2023-02-08,67.26,69.64,65.09,65.19,65.19,250900
2023-02-07,66.28,68.13,65.28,67.85,67.85,347000
2023-02-06,69.0,70.5,65.98,66.08,66.08,280500
2023-02-03,66.4,70.199,66.015,69.36,69.36,297200
