date,open,high,low,close,adjusted_close,volume
2023-07-31,0.448,0.457,0.435,0.447,0.447,1273900
2023-07-28,0.432,0.455,0.432,0.448,0.448,1454900
2023-07-27,0.479,0.48,0.43,0.432,0.432,2377200
2023-07-26,0.455,0.49,0.44,0.481,0.481,2783600
2023-07-25,0.435,0.479,0.435,0.465,0.465,2071200
2023-07-24,0.48,0.48,0.43,0.435,0.435,2257100
2023-07-21,0.48,0.49,0.451,0.468,0.468,2386500
2023-07-20,0.455,0.485,0.44,0.463,0.463,4196600
2023-07-19,0.447,0.456,0.425,0.441,0.441,1918400
2023-07-18,0.4555,0.465,0.43,0.44,0.44,1872289
2023-07-17,0.4225,0.4699,0.42,0.4555,0.4555,2658846
2023-07-14,0.48,0.49,0.42,0.43,0.43,4538600
2023-07-13,0.43,0.5,0.427,0.47,0.47,11249000
2023-07-12,0.36,0.429,0.359,0.411,0.411,5957800
2023-07-11,0.325,0.36,0.325,0.36,0.36,3039200
2023-07-10,0.31,0.329,0.308,0.325,0.325,2040600
2023-07-07,0.308,0.315,0.3,0.31,0.31,1802500
2023-07-06,0.317,0.317,0.295,0.307,0.307,1481100
2023-07-05,0.317,0.33,0.313,0.317,0.317,2225900
2023-07-03,0.305,0.32,0.302,0.317,0.317,1923700
2023-06-30,0.3,0.3,0.28,0.295,0.295,1985000
2023-06-29,0.295,0.306,0.286,0.292,0.292,2189900
2023-06-28,0.3,0.306,0.285,0.286,0.286,3072200
2023-06-27,0.319,0.319,0.3,0.3,0.3,2466400
2023-06-26,0.322,0.327,0.311,0.311,0.311,1894300
2023-06-23,0.323,0.333,0.314,0.314,0.314,16174200
2023-06-22,0.317,0.325,0.311,0.32,0.32,1243300
2023-06-21,0.32,0.323,0.311,0.319,0.319,2070300
2023-06-20,0.335,0.335,0.317,0.321,0.321,2934300
2023-06-16,0.329,0.34,0.32,0.34,0.34,2703900
2023-06-15,0.329,0.339,0.315,0.329,0.329,1993000
2023-06-14,0.32,0.34,0.315,0.321,0.321,1874400
2023-06-13,0.32,0.329,0.312,0.328,0.328,2135600
2023-06-12,0.328,0.328,0.315,0.317,0.317,2240200
2023-06-09,0.34,0.34,0.32,0.32,0.32,2310800
2023-06-08,0.36,0.362,0.331,0.333,0.333,1929500
2023-06-07,0.364,0.374,0.342,0.347,0.347,2115300
2023-06-06,0.331,0.372,0.331,0.365,0.365,2431900
2023-06-05,0.333,0.355,0.328,0.339,0.339,1823600
2023-06-02,0.35,0.356,0.331,0.337,0.337,1649800
2023-06-01,0.346,0.349,0.33,0.342,0.342,2073300
2023-05-31,0.34,0.344,0.335,0.336,0.336,1568400
2023-05-30,0.344,0.35,0.337,0.34,0.34,1326100
2023-05-26,0.352,0.356,0.335,0.34,0.34,1933600
2023-05-25,0.36,0.366,0.335,0.343,0.343,2484400
2023-05-24,0.373,0.38,0.355,0.36,0.36,2320700
2023-05-23,0.37,0.394,0.37,0.374,0.374,1827500
2023-05-22,0.38,0.383,0.371,0.376,0.376,2156800
2023-05-19,0.399,0.399,0.371,0.377,0.377,2280100
2023-05-18,0.39,0.399,0.366,0.385,0.385,2318600
2023-05-17,0.379,0.399,0.365,0.395,0.395,3255400
2023-05-16,0.362,0.377,0.36,0.37,0.37,1969700
2023-05-15,0.357,0.372,0.355,0.369,0.369,1819400
2023-05-12,0.375,0.38,0.352,0.363,0.363,3356800
2023-05-11,0.4,0.4,0.375,0.377,0.377,1650700
2023-05-10,0.396,0.407,0.391,0.4,0.4,1127400
2023-05-09,0.403,0.41,0.39,0.399,0.399,1818300
2023-05-08,0.41,0.426,0.4,0.412,0.412,1943100
2023-05-05,0.4,0.415,0.378,0.406,0.406,2744200
2023-05-04,0.426,0.43,0.393,0.4,0.4,4440400
2023-05-03,0.397,0.425,0.391,0.403,0.403,3429200
2023-05-02,0.4,0.4,0.38,0.385,0.385,2173700
2023-05-01,0.39,0.4,0.38,0.398,0.398,2726800
2023-04-28,0.37,0.384,0.37,0.378,0.378,1740500
2023-04-27,0.368,0.379,0.355,0.373,0.373,1608100
2023-04-26,0.385,0.389,0.358,0.364,0.364,1987400
2023-04-25,0.38,0.394,0.362,0.374,0.374,3123100
