date,open,high,low,close,adjusted_close,volume
2023-07-31,10.22,10.225,10.22,10.22,10.22,2400
2023-07-28,10.25,10.25,10.22,10.22,10.22,1400
2023-07-27,10.23,10.23,10.22,10.23,10.23,26100
2023-07-26,10.247,10.25,10.22,10.22,10.22,3600
2023-07-25,10.22,10.22,10.22,10.22,10.22,28300
2023-07-24,10.2,10.2,10.2,10.2,10.2,1000
2023-07-21,10.195,10.195,10.195,10.195,10.195,0
2023-07-20,10.195,10.195,10.195,10.195,10.195,0
2023-07-19,10.195,10.195,10.195,10.195,10.195,0
2023-07-18,10.195,10.195,10.195,10.195,10.195,0
2023-07-17,10.195,10.195,10.195,10.195,10.195,0
2023-07-14,10.195,10.195,10.195,10.195,10.195,1
2023-07-13,10.195,10.195,10.195,10.195,10.195,1000
2023-07-12,10.2,10.2,10.2,10.2,10.2,300
2023-07-11,10.2,10.2,10.2,10.2,10.2,0
2023-07-10,10.2,10.2,10.2,10.2,10.2,800
2023-07-07,10.14,10.14,10.14,10.14,10.14,0
2023-07-06,10.14,10.14,10.14,10.14,10.14,0
2023-07-05,10.14,10.14,10.14,10.14,10.14,100
2023-07-03,10.14,10.14,10.14,10.14,10.14,0
2023-06-30,10.14,10.14,10.14,10.14,10.14,0
2023-06-29,10.14,10.14,10.14,10.14,10.14,0
2023-06-28,10.14,10.14,10.14,10.14,10.14,0
2023-06-27,10.14,10.14,10.14,10.14,10.14,31500
2023-06-26,10.13,10.14,10.13,10.14,10.14,27400
2023-06-23,10.12,10.12,10.12,10.12,10.12,0
2023-06-22,10.12,10.12,10.12,10.12,10.12,0
2023-06-21,10.12,10.25,10.12,10.12,10.12,16600
2023-06-20,10.103,10.103,10.103,10.103,10.103,200
2023-06-16,10.11,10.11,10.11,10.11,10.11,1
2023-06-15,10.11,10.11,10.11,10.11,10.11,1
2023-06-14,10.11,10.11,10.11,10.11,10.11,1
2023-06-13,10.11,10.11,10.11,10.11,10.11,1
2023-06-12,10.11,10.11,10.11,10.11,10.11,1
2023-06-09,10.11,10.11,10.11,10.11,10.11,0
2023-06-08,10.11,10.11,10.11,10.11,10.11,0
2023-06-07,10.11,10.11,10.11,10.11,10.11,0
2023-06-06,10.11,10.11,10.11,10.11,10.11,0
2023-06-05,10.11,10.11,10.11,10.11,10.11,0
2023-06-02,10.11,10.11,10.11,10.11,10.11,0
2023-06-01,10.11,10.11,10.11,10.11,10.11,0
2023-05-31,10.11,10.11,10.11,10.11,10.11,2
2023-05-30,10.11,10.11,10.11,10.11,10.11,500
2023-05-26,10.1,10.1,10.1,10.1,10.1,48000
2023-05-25,10.08,10.08,10.08,10.08,10.08,300
2023-05-24,10.09,10.09,10.09,10.09,10.09,21600
2023-05-23,10.1,10.1,10.09,10.09,10.09,4700
2023-05-22,10.1,10.1,10.1,10.1,10.1,2100
2023-05-19,10.08,10.08,10.08,10.08,10.08,200
2023-05-18,10.095,10.095,10.095,10.095,10.095,0
2023-05-17,10.09,10.105,10.09,10.095,10.095,13500
2023-05-16,10.097,10.097,10.097,10.097,10.097,0
2023-05-15,10.097,10.097,10.097,10.097,10.097,100
2023-05-12,10.09,10.09,10.09,10.09,10.09,300
2023-05-11,10.1,10.1,10.1,10.1,10.1,1
2023-05-10,10.08,10.1,10.08,10.1,10.1,300
2023-05-09,10.1,10.1,10.1,10.1,10.1,0
2023-05-08,10.1,10.1,10.1,10.1,10.1,2
2023-05-05,10.07,10.1,10.065,10.1,10.1,11800
